seed,buyer_id,buyer_class,n_purchases,total_spent,budget_remaining
0,0,Homogeneous,1,3.0,2.0
0,1,Homogeneous,1,3.0,2.0
0,2,Homogeneous,1,3.0,2.0
0,3,Homogeneous,1,3.0,2.0
0,4,Homogeneous,1,3.0,2.0
0,5,Homogeneous,0,0.0,5.0
0,6,Homogeneous,1,3.0,2.0
0,7,Homogeneous,1,3.0,2.0
0,8,Homogeneous,0,0.0,5.0
0,9,Homogeneous,0,0.0,5.0
0,10,Homogeneous,1,3.0,2.0
0,11,Homogeneous,1,3.0,2.0
0,12,Homogeneous,0,0.0,5.0
0,13,Homogeneous,0,0.0,5.0
0,14,Homogeneous,1,3.0,2.0
0,15,Homogeneous,1,3.0,2.0
0,16,Homogeneous,1,3.0,2.0
0,17,Homogeneous,0,0.0,5.0
0,18,Homogeneous,1,3.0,2.0
0,19,Homogeneous,1,3.0,2.0
0,20,Homogeneous,1,3.0,2.0
0,21,Homogeneous,1,3.0,2.0
0,22,Homogeneous,1,3.0,2.0
0,23,Homogeneous,1,3.0,2.0
0,24,Homogeneous,1,3.0,2.0
0,25,Homogeneous,1,3.0,2.0
0,26,Homogeneous,1,3.0,2.0
0,27,Homogeneous,1,3.0,2.0
0,28,Homogeneous,1,3.0,2.0
0,29,Homogeneous,1,3.0,2.0
0,30,Homogeneous,1,3.0,2.0
0,31,Homogeneous,0,0.0,5.0
0,32,Homogeneous,1,3.0,2.0
0,33,Homogeneous,0,0.0,5.0
0,34,Homogeneous,1,3.0,2.0
0,35,Homogeneous,1,3.0,2.0
0,36,Homogeneous,1,3.0,2.0
0,37,Homogeneous,1,3.0,2.0
0,38,Homogeneous,1,3.0,2.0
0,39,Homogeneous,1,3.0,2.0
0,40,Homogeneous,1,3.0,2.0
0,41,Homogeneous,1,3.0,2.0
0,42,Homogeneous,1,3.0,2.0
0,43,Homogeneous,1,3.0,2.0
0,44,Homogeneous,1,3.0,2.0
0,45,Homogeneous,1,3.0,2.0
0,46,Homogeneous,0,0.0,5.0
0,47,Homogeneous,1,3.0,2.0
0,48,Homogeneous,1,3.0,2.0
0,49,Homogeneous,1,3.0,2.0
0,50,Homogeneous,0,0.0,5.0
