seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,Homogeneous_participation_rate,Homogeneous_to_Homogeneous_share,Homogeneous_blocked_by_budget_at_Homogeneous
0,0.75,0.75,180.0,0,100,124,36,0,0.75,1.0,124
1,0.7125,0.7125,171.0,3,122,105,36,0,0.7125,1.0,105
2,0.75,0.75,180.0,0,122,111,27,0,0.75,1.0,111
3,0.75,0.75,180.0,0,108,127,25,0,0.75,1.0,127
4,0.75,0.75,180.0,0,89,112,59,0,0.75,1.0,112
5,0.725,0.725,174.0,2,104,109,49,0,0.725,1.0,109
6,0.7125,0.7125,171.0,3,120,114,29,0,0.7125,1.0,114
7,0.725,0.725,174.0,2,119,118,25,0,0.725,1.0,118
8,0.7375,0.7375,177.0,1,134,112,15,0,0.7375,1.0,112
9,0.75,0.75,180.0,0,108,123,29,0,0.75,1.0,123
10,0.75,0.75,180.0,0,102,103,55,0,0.75,1.0,103
11,0.6875,0.6875,165.0,5,146,91,28,0,0.6875,1.0,91
12,0.75,0.75,180.0,0,103,127,30,0,0.75,1.0,127
13,0.725,0.725,174.0,2,119,108,35,0,0.725,1.0,108
14,0.725,0.725,174.0,2,108,124,30,0,0.725,1.0,124
15,0.75,0.75,180.0,0,106,115,39,0,0.75,1.0,115
16,0.725,0.725,174.0,2,103,121,38,0,0.725,1.0,121
17,0.75,0.75,180.0,0,114,113,33,0,0.75,1.0,113
18,0.75,0.75,180.0,0,96,113,51,0,0.75,1.0,113
19,0.725,0.725,174.0,2,105,118,39,0,0.725,1.0,118
20,0.75,0.75,180.0,0,82,127,51,0,0.75,1.0,127
21,0.6625,0.6625,159.0,7,122,108,37,0,0.6625,1.0,108
22,0.725,0.725,174.0,2,103,114,45,0,0.725,1.0,114
23,0.75,0.75,180.0,0,97,114,49,0,0.75,1.0,114
24,0.75,0.75,180.0,0,132,108,20,0,0.75,1.0,108
25,0.75,0.75,180.0,0,121,105,34,0,0.75,1.0,105
26,0.675,0.675,162.0,6,117,99,50,0,0.675,1.0,99
27,0.75,0.75,180.0,0,84,136,40,0,0.75,1.0,136
28,0.7375,0.7375,177.0,1,111,121,29,0,0.7375,1.0,121
29,0.7375,0.7375,177.0,1,115,108,38,0,0.7375,1.0,108
