seed,seller_id,seller_class,n_sold,revenue,inventory_remaining
0,0,Homogeneous,15,45.0,0
0,1,Homogeneous,15,45.0,0
0,2,Homogeneous,15,45.0,0
0,3,Homogeneous,15,45.0,0
1,0,Homogeneous,15,45.0,0
1,1,Homogeneous,13,39.0,2
1,2,Homogeneous,14,42.0,1
1,3,Homogeneous,15,45.0,0
2,0,Homogeneous,15,45.0,0
2,1,Homogeneous,15,45.0,0
2,2,Homogeneous,15,45.0,0
2,3,Homogeneous,15,45.0,0
3,0,Homogeneous,15,45.0,0
3,1,Homogeneous,15,45.0,0
3,2,Homogeneous,15,45.0,0
3,3,Homogeneous,15,45.0,0
4,0,Homogeneous,15,45.0,0
4,1,Homogeneous,15,45.0,0
4,2,Homogeneous,15,45.0,0
4,3,Homogeneous,15,45.0,0
5,0,Homogeneous,15,45.0,0
5,1,Homogeneous,15,45.0,0
5,2,Homogeneous,15,45.0,0
5,3,Homogeneous,13,39.0,2
6,0,Homogeneous,15,45.0,0
6,1,Homogeneous,15,45.0,0
6,2,Homogeneous,15,45.0,0
6,3,Homogeneous,12,36.0,3
7,0,Homogeneous,15,45.0,0
7,1,Homogeneous,15,45.0,0
7,2,Homogeneous,14,42.0,1
7,3,Homogeneous,14,42.0,1
8,0,Homogeneous,15,45.0,0
8,1,Homogeneous,14,42.0,1
8,2,Homogeneous,15,45.0,0
8,3,Homogeneous,15,45.0,0
9,0,Homogeneous,15,45.0,0
9,1,Homogeneous,15,45.0,0
9,2,Homogeneous,15,45.0,0
9,3,Homogeneous,15,45.0,0
10,0,Homogeneous,15,45.0,0
10,1,Homogeneous,15,45.0,0
10,2,Homogeneous,15,45.0,0
10,3,Homogeneous,15,45.0,0
11,0,Homogeneous,12,36.0,3
11,1,Homogeneous,15,45.0,0
11,2,Homogeneous,13,39.0,2
11,3,Homogeneous,15,45.0,0
12,0,Homogeneous,15,45.0,0
12,1,Homogeneous,15,45.0,0
12,2,Homogeneous,15,45.0,0
12,3,Homogeneous,15,45.0,0
13,0,Homogeneous,15,45.0,0
13,1,Homogeneous,13,39.0,2
13,2,Homogeneous,15,45.0,0
13,3,Homogeneous,15,45.0,0
14,0,Homogeneous,15,45.0,0
14,1,Homogeneous,15,45.0,0
14,2,Homogeneous,15,45.0,0
14,3,Homogeneous,13,39.0,2
15,0,Homogeneous,15,45.0,0
15,1,Homogeneous,15,45.0,0
15,2,Homogeneous,15,45.0,0
15,3,Homogeneous,15,45.0,0
16,0,Homogeneous,13,39.0,2
16,1,Homogeneous,15,45.0,0
16,2,Homogeneous,15,45.0,0
16,3,Homogeneous,15,45.0,0
17,0,Homogeneous,15,45.0,0
17,1,Homogeneous,15,45.0,0
17,2,Homogeneous,15,45.0,0
17,3,Homogeneous,15,45.0,0
18,0,Homogeneous,15,45.0,0
18,1,Homogeneous,15,45.0,0
18,2,Homogeneous,15,45.0,0
18,3,Homogeneous,15,45.0,0
19,0,Homogeneous,15,45.0,0
19,1,Homogeneous,15,45.0,0
19,2,Homogeneous,15,45.0,0
19,3,Homogeneous,13,39.0,2
20,0,Homogeneous,15,45.0,0
20,1,Homogeneous,15,45.0,0
20,2,Homogeneous,15,45.0,0
20,3,Homogeneous,15,45.0,0
21,0,Homogeneous,15,45.0,0
21,1,Homogeneous,15,45.0,0
21,2,Homogeneous,10,30.0,5
21,3,Homogeneous,13,39.0,2
22,0,Homogeneous,15,45.0,0
22,1,Homogeneous,13,39.0,2
22,2,Homogeneous,15,45.0,0
22,3,Homogeneous,15,45.0,0
23,0,Homogeneous,15,45.0,0
23,1,Homogeneous,15,45.0,0
23,2,Homogeneous,15,45.0,0
23,3,Homogeneous,15,45.0,0
24,0,Homogeneous,15,45.0,0
24,1,Homogeneous,15,45.0,0
24,2,Homogeneous,15,45.0,0
24,3,Homogeneous,15,45.0,0
25,0,Homogeneous,15,45.0,0
25,1,Homogeneous,15,45.0,0
25,2,Homogeneous,15,45.0,0
25,3,Homogeneous,15,45.0,0
26,0,Homogeneous,9,27.0,6
26,1,Homogeneous,15,45.0,0
26,2,Homogeneous,15,45.0,0
26,3,Homogeneous,15,45.0,0
27,0,Homogeneous,15,45.0,0
27,1,Homogeneous,15,45.0,0
27,2,Homogeneous,15,45.0,0
27,3,Homogeneous,15,45.0,0
28,0,Homogeneous,15,45.0,0
28,1,Homogeneous,15,45.0,0
28,2,Homogeneous,15,45.0,0
28,3,Homogeneous,14,42.0,1
29,0,Homogeneous,14,42.0,1
29,1,Homogeneous,15,45.0,0
29,2,Homogeneous,15,45.0,0
29,3,Homogeneous,15,45.0,0
