transaction_id,seed,buyer_id,buyer_class,seller_id,seller_class,visit_order,price,budget_before,budget_after,seller_inventory_after
0,0,0,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,14
1,0,1,Homogeneous,3,Homogeneous,2,3.0,5.0,2.0,14
2,0,2,Homogeneous,0,Homogeneous,0,3.0,5.0,2.0,14
3,0,3,Homogeneous,2,Homogeneous,1,3.0,5.0,2.0,13
4,0,4,Homogeneous,3,Homogeneous,3,3.0,5.0,2.0,13
5,0,6,Homogeneous,0,Homogeneous,1,3.0,5.0,2.0,13
6,0,7,Homogeneous,0,Homogeneous,1,3.0,5.0,2.0,12
7,0,10,Homogeneous,1,Homogeneous,1,3.0,5.0,2.0,14
8,0,11,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,13
9,0,14,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,12
10,0,15,Homogeneous,3,Homogeneous,0,3.0,5.0,2.0,12
11,0,16,Homogeneous,0,Homogeneous,0,3.0,5.0,2.0,11
12,0,18,Homogeneous,2,Homogeneous,1,3.0,5.0,2.0,12
13,0,19,Homogeneous,1,Homogeneous,1,3.0,5.0,2.0,11
14,0,20,Homogeneous,2,Homogeneous,3,3.0,5.0,2.0,11
15,0,21,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,10
16,0,22,Homogeneous,3,Homogeneous,2,3.0,5.0,2.0,11
17,0,23,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,9
18,0,24,Homogeneous,2,Homogeneous,1,3.0,5.0,2.0,8
19,0,25,Homogeneous,3,Homogeneous,3,3.0,5.0,2.0,10
20,0,26,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,10
21,0,27,Homogeneous,2,Homogeneous,1,3.0,5.0,2.0,7
22,0,28,Homogeneous,3,Homogeneous,0,3.0,5.0,2.0,9
23,0,29,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,6
24,0,30,Homogeneous,3,Homogeneous,2,3.0,5.0,2.0,8
25,0,32,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,5
26,0,34,Homogeneous,2,Homogeneous,0,3.0,5.0,2.0,4
27,0,35,Homogeneous,0,Homogeneous,0,3.0,5.0,2.0,10
28,0,36,Homogeneous,3,Homogeneous,0,3.0,5.0,2.0,7
29,0,37,Homogeneous,2,Homogeneous,1,3.0,5.0,2.0,3
30,0,38,Homogeneous,1,Homogeneous,0,3.0,5.0,2.0,9
31,0,39,Homogeneous,0,Homogeneous,0,3.0,5.0,2.0,9
32,0,40,Homogeneous,3,Homogeneous,1,3.0,5.0,2.0,6
