seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,Homogeneous_participation_rate,Homogeneous_to_Homogeneous_share,Homogeneous_blocked_by_budget_at_Homogeneous
0,0.825,0.825,198.0,414,112,142,0,0,0.825,1.0,142
1,0.8125,0.8125,195.0,415,136,119,0,0,0.8125,1.0,119
2,0.825,0.825,198.0,414,130,124,0,0,0.825,1.0,124
3,0.8125,0.8125,195.0,415,122,133,0,0,0.8125,1.0,133
4,0.875,0.875,210.0,410,108,142,0,0,0.875,1.0,142
5,0.8125,0.8125,195.0,415,123,132,0,0,0.8125,1.0,132
6,0.775,0.775,186.0,418,126,132,0,0,0.775,1.0,132
7,0.7875,0.7875,189.0,417,124,133,0,0,0.7875,1.0,133
8,0.7875,0.7875,189.0,417,140,117,0,0,0.7875,1.0,117
9,0.825,0.825,198.0,414,115,139,0,0,0.825,1.0,139
10,0.8625,0.8625,207.0,411,130,121,0,0,0.8625,1.0,121
11,0.825,0.825,198.0,414,141,113,0,0,0.825,1.0,113
12,0.85,0.85,204.0,412,110,142,0,0,0.85,1.0,142
13,0.8375,0.8375,201.0,413,118,135,0,0,0.8375,1.0,135
14,0.8,0.8,192.0,416,117,139,0,0,0.8,1.0,139
15,0.8125,0.8125,195.0,415,120,135,0,0,0.8125,1.0,135
16,0.7625,0.7625,183.0,419,124,135,0,0,0.7625,1.0,135
17,0.8125,0.8125,195.0,415,125,130,0,0,0.8125,1.0,130
18,0.8125,0.8125,195.0,415,125,130,0,0,0.8125,1.0,130
19,0.8125,0.8125,195.0,415,116,139,0,0,0.8125,1.0,139
20,0.9,0.9,216.0,408,102,146,0,0,0.9,1.0,146
21,0.8,0.8,192.0,416,131,125,0,0,0.8,1.0,125
22,0.85,0.85,204.0,412,118,134,0,0,0.85,1.0,134
23,0.8375,0.8375,201.0,413,113,140,0,0,0.8375,1.0,140
24,0.775,0.775,186.0,418,142,116,0,0,0.775,1.0,116
25,0.8125,0.8125,195.0,415,136,119,0,0,0.8125,1.0,119
26,0.85,0.85,204.0,412,118,134,0,0,0.85,1.0,134
27,0.8125,0.8125,195.0,415,101,154,0,0,0.8125,1.0,154
28,0.8375,0.8375,201.0,413,116,137,0,0,0.8375,1.0,137
29,0.85,0.85,204.0,412,128,124,0,0,0.85,1.0,124
