seed,seller_id,n_sold,revenue,inventory_remaining
0,0,15,45.0,105
0,1,15,45.0,105
0,2,22,66.0,98
0,3,14,42.0,106
1,0,18,54.0,102
1,1,12,36.0,108
1,2,13,39.0,107
1,3,22,66.0,98
2,0,14,42.0,106
2,1,16,48.0,104
2,2,16,48.0,104
2,3,20,60.0,100
3,0,16,48.0,104
3,1,15,45.0,105
3,2,14,42.0,106
3,3,20,60.0,100
4,0,11,33.0,109
4,1,23,69.0,97
4,2,18,54.0,102
4,3,18,54.0,102
5,0,15,45.0,105
5,1,19,57.0,101
5,2,20,60.0,100
5,3,11,33.0,109
6,0,12,36.0,108
6,1,24,72.0,96
6,2,16,48.0,104
6,3,10,30.0,110
7,0,18,54.0,102
7,1,22,66.0,98
7,2,12,36.0,108
7,3,11,33.0,109
8,0,15,45.0,105
8,1,13,39.0,107
8,2,21,63.0,99
8,3,14,42.0,106
9,0,14,42.0,106
9,1,19,57.0,101
9,2,19,57.0,101
9,3,14,42.0,106
10,0,15,45.0,105
10,1,22,66.0,98
10,2,18,54.0,102
10,3,14,42.0,106
11,0,12,36.0,108
11,1,29,87.0,91
11,2,11,33.0,109
11,3,14,42.0,106
12,0,18,54.0,102
12,1,16,48.0,104
12,2,16,48.0,104
12,3,18,54.0,102
13,0,28,84.0,92
13,1,13,39.0,107
13,2,16,48.0,104
13,3,10,30.0,110
14,0,14,42.0,106
14,1,20,60.0,100
14,2,18,54.0,102
14,3,12,36.0,108
15,0,13,39.0,107
15,1,15,45.0,105
15,2,16,48.0,104
15,3,21,63.0,99
16,0,9,27.0,111
16,1,17,51.0,103
16,2,15,45.0,105
16,3,20,60.0,100
17,0,14,42.0,106
17,1,14,42.0,106
17,2,16,48.0,104
17,3,21,63.0,99
18,0,18,54.0,102
18,1,13,39.0,107
18,2,19,57.0,101
18,3,15,45.0,105
19,0,18,54.0,102
19,1,17,51.0,103
19,2,21,63.0,99
19,3,9,27.0,111
20,0,21,63.0,99
20,1,17,51.0,103
20,2,16,48.0,104
20,3,18,54.0,102
21,0,20,60.0,100
21,1,23,69.0,97
21,2,10,30.0,110
21,3,11,33.0,109
22,0,18,54.0,102
22,1,13,39.0,107
22,2,17,51.0,103
22,3,20,60.0,100
23,0,18,54.0,102
23,1,18,54.0,102
23,2,10,30.0,110
23,3,21,63.0,99
24,0,14,42.0,106
24,1,13,39.0,107
24,2,22,66.0,98
24,3,13,39.0,107
25,0,14,42.0,106
25,1,22,66.0,98
25,2,14,42.0,106
25,3,15,45.0,105
26,0,7,21.0,113
26,1,25,75.0,95
26,2,18,54.0,102
26,3,18,54.0,102
27,0,15,45.0,105
27,1,13,39.0,107
27,2,24,72.0,96
27,3,13,39.0,107
28,0,15,45.0,105
28,1,20,60.0,100
28,2,19,57.0,101
28,3,13,39.0,107
29,0,13,39.0,107
29,1,17,51.0,103
29,2,14,42.0,106
29,3,24,72.0,96
