variant,rho,gamma,held_out_log_loss
S-blind,0.5,0.0,2.0492955358657117
S-informed,0.5,0.0,0.47215341216303663
S-blind,0.5,0.25,1.9294437920110146
S-informed,0.5,0.25,0.46827225395996386
S-blind,0.5,0.5,1.8158891215146822
S-informed,0.5,0.5,0.4679115657918335
S-blind,0.5,1.0,1.60885714063449
S-informed,0.5,1.0,0.4762237630691395
S-blind,0.5,2.0,1.280310841750132
S-informed,0.5,2.0,0.5201537205318646
S-blind,0.5,4.0,0.9544415795312412
S-informed,0.5,4.0,0.6709149995197059
S-blind,0.5,8.0,1.0928106431799656
S-informed,0.5,8.0,1.0699475039742896
S-blind,0.5,16.0,1.9463606787990553
S-informed,0.5,16.0,1.9611362323114938
S-blind,0.5,32.0,3.643006122173279
S-informed,0.5,32.0,3.5650451505485217
S-blind,0.8,0.0,2.0492955358657117
S-informed,0.8,0.0,0.47215341216303663
S-blind,0.8,0.25,1.9453133009861137
S-informed,0.8,0.25,0.46857548987642333
S-blind,0.8,0.5,1.8458387944725738
S-informed,0.8,0.5,0.4672664416655624
S-blind,0.8,1.0,1.6612118891863568
S-informed,0.8,1.0,0.4704394744810084
S-blind,0.8,2.0,1.3529523140867497
S-informed,0.8,2.0,0.49421549207419485
S-blind,0.8,4.0,0.9776447742538358
S-informed,0.8,4.0,0.5818454324872095
S-blind,0.8,8.0,0.870100312821376
S-informed,0.8,8.0,0.8183785575246543
S-blind,0.8,16.0,1.2805857000668392
S-informed,0.8,16.0,1.3559949431669482
S-blind,0.8,32.0,2.334567749511401
S-informed,0.8,32.0,2.4189617924988416
S-blind,0.95,0.0,2.0492955358657117
S-informed,0.95,0.0,0.47215341216303663
S-blind,0.95,0.25,1.9911528482114733
S-informed,0.95,0.25,0.47010193290856944
S-blind,0.95,0.5,1.9345155250292851
S-informed,0.95,0.5,0.46879466600644804
S-blind,0.95,1.0,1.8259632797748537
S-informed,0.95,1.0,0.4681644114229071
S-blind,0.95,2.0,1.628931642914516
S-informed,0.95,2.0,0.4733897583896788
S-blind,0.95,4.0,1.320078208566151
S-informed,0.95,4.0,0.5015316610480496
S-blind,0.95,8.0,1.007560069844809
S-informed,0.95,8.0,0.5938294342773325
S-blind,0.95,16.0,0.9556745591517977
S-informed,0.95,16.0,0.8287563579033388
S-blind,0.95,32.0,1.3335571764158922
S-informed,0.95,32.0,1.3470211931137324
