panel,category,context,split,n,human,agent,gap
cracker,crackers,cheap|display,train,224,0.22321428571428573,0.2749553571428572,0.051741071428571456
cracker,crackers,cheap|display,test,236,0.25,0.2680084745762712,0.018008474576271194
cracker,crackers,cheap|display+feature,train,96,0.4270833333333333,0.2526041666666667,-0.17447916666666663
cracker,crackers,cheap|display+feature,test,103,0.42718446601941745,0.26873786407766986,-0.1584466019417476
cracker,crackers,cheap|feature,train,44,0.4090909090909091,0.33590909090909093,-0.07318181818181818
cracker,crackers,cheap|feature,test,39,0.28205128205128205,0.29926884996191927,0.01721756791063722
cracker,crackers,cheap|none,train,1635,0.3180428134556575,0.24639540969135218,-0.07164740376430531
cracker,crackers,cheap|none,test,1482,0.21592442645074225,0.24343893039498032,0.027514503944238072
cracker,crackers,dear|display,train,344,0.27906976744186046,0.2631686046511628,-0.015901162790697643
cracker,crackers,dear|display,test,334,0.39820359281437123,0.2523845378549831,-0.14581905495938813
cracker,crackers,dear|display+feature,train,32,0.4375,0.2890625,-0.1484375
cracker,crackers,dear|display+feature,test,40,0.325,0.32,-0.0050000000000000044
cracker,crackers,dear|feature,train,53,0.4528301886792453,0.3113207547169812,-0.14150943396226412
cracker,crackers,dear|feature,test,41,0.43902439024390244,0.2870731707317073,-0.15195121951219515
cracker,crackers,dear|none,train,2030,0.16453201970443349,0.2515241781441641,0.08699215843973063
cracker,crackers,dear|none,test,2042,0.1860920666013712,0.2527495587212882,0.06665749211991698
cracker,crackers,mid|display,train,331,0.486404833836858,0.26389728096676734,-0.22250755287009066
cracker,crackers,mid|display,test,314,0.5095541401273885,0.27923566878980893,-0.2303184713375796
cracker,crackers,mid|display+feature,train,83,0.5662650602409639,0.3249397590361446,-0.24132530120481932
cracker,crackers,mid|display+feature,test,80,0.625,0.32437499999999997,-0.30062500000000003
cracker,crackers,mid|feature,train,42,0.4523809523809524,0.33666666666666667,-0.11571428571428571
cracker,crackers,mid|feature,test,50,0.54,0.316,-0.22400000000000003
cracker,crackers,mid|none,train,1798,0.19688542825361513,0.23314205980088215,0.03625663154726702
cracker,crackers,mid|none,test,1683,0.23529411764705882,0.23363694917034436,-0.00165716847671446
catsup,condiments,cheap|display,train,168,0.6309523809523809,0.30505952380952384,-0.3258928571428571
catsup,condiments,cheap|display,test,198,0.7373737373737373,0.2994949494949494,-0.4378787878787879
catsup,condiments,cheap|display+feature,test,35,0.6,0.4185714285714286,-0.18142857142857138
catsup,condiments,cheap|feature,train,88,0.7272727272727273,0.42045454545454547,-0.3068181818181818
catsup,condiments,cheap|feature,test,80,0.7,0.37750000000000006,-0.3224999999999999
catsup,condiments,cheap|none,train,1266,0.3981042654028436,0.21562401263823067,-0.18248025276461294
catsup,condiments,cheap|none,test,1156,0.3737024221453287,0.22091695501730105,-0.15278546712802768
catsup,condiments,dear|feature,train,70,0.2714285714285714,0.2792857142857143,0.007857142857142896
catsup,condiments,dear|feature,test,76,0.3815789473684211,0.2743421052631579,-0.10723684210526319
catsup,condiments,dear|none,train,1927,0.08873897249610795,0.24132848988064348,0.15258951738453552
catsup,condiments,dear|none,test,1684,0.08669833729216152,0.2386817102137767,0.15198337292161518
catsup,condiments,mid|display,train,89,0.5617977528089888,0.3320224719101123,-0.2297752808988765
catsup,condiments,mid|display,test,100,0.64,0.35409999999999997,-0.28590000000000004
catsup,condiments,mid|feature,train,97,0.30927835051546393,0.3514432989690721,0.042164948453608186
catsup,condiments,mid|feature,test,75,0.3466666666666667,0.3954666666666667,0.04880000000000001
catsup,condiments,mid|none,train,2040,0.2284313725490196,0.2539656862745098,0.025534313725490226
catsup,condiments,mid|none,test,1953,0.20532514080901176,0.24933947772657453,0.04401433691756276
yogurt,dairy,cheap|feature,train,130,0.33076923076923076,0.2746923076923077,-0.05607692307692308
yogurt,dairy,cheap|feature,test,130,0.4153846153846154,0.26723076923076927,-0.14815384615384614
yogurt,dairy,cheap|none,train,1566,0.11494252873563218,0.2519284802043423,0.1369859514687101
yogurt,dairy,cheap|none,test,1301,0.11452728670253651,0.2576787086856264,0.14315142198308992
yogurt,dairy,dear|feature,train,53,0.32075471698113206,0.3688679245283017,0.048113207547169634
yogurt,dairy,dear|feature,test,43,0.4883720930232558,0.386046511627907,-0.10232558139534881
yogurt,dairy,dear|none,train,2239,0.2675301473872264,0.24535506922733363,-0.02217507815989278
yogurt,dairy,dear|none,test,1668,0.329136690647482,0.23983812949640287,-0.08929856115107915
yogurt,dairy,mid|none,train,1285,0.36342412451361866,0.2463190661478599,-0.11710505836575877
yogurt,dairy,mid|none,test,1183,0.2485207100591716,0.24612848689771769,-0.0023922231614539047
