seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
0,0.84,1.05,258.0,425,151,244,0,0.7714285714285715,1.0,0.0,65,140,1.0,0.8275862068965517,0.1724137931034483,9,22,1.0,0.6818181818181818,0.3181818181818182,1,7
1,0.85,0.98,232.0,432,146,256,0,0.8142857142857143,1.0,0.0,83,140,0.9,0.8260869565217391,0.17391304347826086,10,18,1.0,0.7222222222222222,0.2777777777777778,1,4
2,0.87,1.08,252.0,422,133,259,0,0.8857142857142857,1.0,0.0,84,140,0.75,0.8636363636363636,0.13636363636363635,9,19,1.0,0.75,0.25,0,7
3,0.84,1.04,252.0,426,148,248,0,0.8,1.0,0.0,72,140,0.9,0.8518518518518519,0.14814814814814814,11,20,1.0,0.6666666666666666,0.3333333333333333,0,5
4,0.83,1.0,264.0,430,147,253,0,0.8,1.0,0.0,70,140,0.9,0.625,0.375,21,17,0.9,0.65,0.35,0,5
5,0.88,1.04,256.0,426,136,260,0,0.8571428571428571,1.0,0.0,80,140,0.9,0.7916666666666666,0.20833333333333334,11,22,1.0,0.65,0.35,1,6
6,0.83,0.96,264.0,434,153,251,0,0.8142857142857143,1.0,0.0,73,140,0.8,0.47058823529411764,0.5294117647058824,20,12,1.0,0.5909090909090909,0.4090909090909091,2,4
7,0.86,1.01,234.0,429,133,266,0,0.8142857142857143,1.0,0.0,88,140,0.95,0.8333333333333334,0.16666666666666666,8,23,1.0,0.8,0.2,1,6
8,0.81,0.99,234.0,431,143,258,0,0.7428571428571429,1.0,0.0,70,140,1.0,0.8333333333333334,0.16666666666666666,15,28,0.9,0.7647058823529411,0.23529411764705882,1,4
9,0.84,0.99,246.0,431,143,258,0,0.8,1.0,0.0,77,140,0.95,0.72,0.28,13,23,0.9,0.7222222222222222,0.2777777777777778,1,4
