seed,seller_id,seller_class,n_sold,revenue,inventory_remaining
0,0,Slow,27,54.0,103
0,1,Slow,30,60.0,100
0,2,Slow,37,74.0,93
0,3,Shigh,6,36.0,64
0,4,Shigh,5,30.0,65
1,0,Slow,31,62.0,99
1,1,Slow,30,60.0,100
1,2,Slow,29,58.0,101
1,3,Shigh,5,30.0,65
1,4,Shigh,3,18.0,67
2,0,Slow,33,66.0,97
2,1,Slow,34,68.0,96
2,2,Slow,31,62.0,99
2,3,Shigh,5,30.0,65
2,4,Shigh,4,24.0,66
3,0,Slow,25,50.0,105
3,1,Slow,32,64.0,98
3,2,Slow,35,70.0,95
3,3,Shigh,4,24.0,66
3,4,Shigh,6,36.0,64
4,0,Slow,30,60.0,100
4,1,Slow,24,48.0,106
4,2,Slow,30,60.0,100
4,3,Shigh,8,48.0,62
4,4,Shigh,8,48.0,62
5,0,Slow,29,58.0,101
5,1,Slow,27,54.0,103
5,2,Slow,34,68.0,96
5,3,Shigh,2,12.0,68
5,4,Shigh,10,60.0,60
6,0,Slow,27,54.0,103
6,1,Slow,24,48.0,106
6,2,Slow,28,56.0,102
6,3,Shigh,10,60.0,60
6,4,Shigh,7,42.0,63
7,0,Slow,35,70.0,95
7,1,Slow,31,62.0,99
7,2,Slow,29,58.0,101
7,3,Shigh,6,36.0,64
7,4,Shigh,4,24.0,66
8,0,Slow,34,68.0,96
8,1,Slow,23,46.0,107
8,2,Slow,34,68.0,96
8,3,Shigh,3,18.0,67
8,4,Shigh,5,30.0,65
9,0,Slow,24,48.0,106
9,1,Slow,27,54.0,103
9,2,Slow,34,68.0,96
9,3,Shigh,4,24.0,66
9,4,Shigh,8,48.0,62
10,0,Slow,20,40.0,110
10,1,Slow,35,70.0,95
10,2,Slow,28,56.0,102
10,3,Shigh,5,30.0,65
10,4,Shigh,9,54.0,61
11,0,Slow,28,56.0,102
11,1,Slow,29,58.0,101
11,2,Slow,32,64.0,98
11,3,Shigh,4,24.0,66
11,4,Shigh,7,42.0,63
12,0,Slow,22,44.0,108
12,1,Slow,33,66.0,97
12,2,Slow,34,68.0,96
12,3,Shigh,8,48.0,62
12,4,Shigh,5,30.0,65
13,0,Slow,28,56.0,102
13,1,Slow,28,56.0,102
13,2,Slow,33,66.0,97
13,3,Shigh,6,36.0,64
13,4,Shigh,3,18.0,67
14,0,Slow,29,58.0,101
14,1,Slow,34,68.0,96
14,2,Slow,31,62.0,99
14,3,Shigh,2,12.0,68
14,4,Shigh,10,60.0,60
15,0,Slow,26,52.0,104
15,1,Slow,30,60.0,100
15,2,Slow,33,66.0,97
15,3,Shigh,7,42.0,63
15,4,Shigh,1,6.0,69
16,0,Slow,25,50.0,105
16,1,Slow,28,56.0,102
16,2,Slow,35,70.0,95
16,3,Shigh,3,18.0,67
16,4,Shigh,7,42.0,63
17,0,Slow,22,44.0,108
17,1,Slow,38,76.0,92
17,2,Slow,30,60.0,100
17,3,Shigh,8,48.0,62
17,4,Shigh,5,30.0,65
18,0,Slow,28,56.0,102
18,1,Slow,31,62.0,99
18,2,Slow,28,56.0,102
18,3,Shigh,6,36.0,64
18,4,Shigh,4,24.0,66
19,0,Slow,32,64.0,98
19,1,Slow,32,64.0,98
19,2,Slow,34,68.0,96
19,3,Shigh,2,12.0,68
19,4,Shigh,5,30.0,65
20,0,Slow,28,56.0,102
20,1,Slow,29,58.0,101
20,2,Slow,27,54.0,103
20,3,Shigh,8,48.0,62
20,4,Shigh,6,36.0,64
21,0,Slow,28,56.0,102
21,1,Slow,27,54.0,103
21,2,Slow,28,56.0,102
21,3,Shigh,9,54.0,61
21,4,Shigh,3,18.0,67
22,0,Slow,33,66.0,97
22,1,Slow,22,44.0,108
22,2,Slow,33,66.0,97
22,3,Shigh,8,48.0,62
22,4,Shigh,6,36.0,64
23,0,Slow,34,68.0,96
23,1,Slow,35,70.0,95
23,2,Slow,27,54.0,103
23,3,Shigh,6,36.0,64
23,4,Shigh,8,48.0,62
24,0,Slow,30,60.0,100
24,1,Slow,28,56.0,102
24,2,Slow,30,60.0,100
24,3,Shigh,10,60.0,60
24,4,Shigh,4,24.0,66
25,0,Slow,34,68.0,96
25,1,Slow,29,58.0,101
25,2,Slow,28,56.0,102
25,3,Shigh,6,36.0,64
25,4,Shigh,3,18.0,67
26,0,Slow,31,62.0,99
26,1,Slow,35,70.0,95
26,2,Slow,27,54.0,103
26,3,Shigh,5,30.0,65
26,4,Shigh,5,30.0,65
27,0,Slow,26,52.0,104
27,1,Slow,33,66.0,97
27,2,Slow,26,52.0,104
27,3,Shigh,6,36.0,64
27,4,Shigh,7,42.0,63
28,0,Slow,32,64.0,98
28,1,Slow,27,54.0,103
28,2,Slow,34,68.0,96
28,3,Shigh,5,30.0,65
28,4,Shigh,5,30.0,65
29,0,Slow,26,52.0,104
29,1,Slow,31,62.0,99
29,2,Slow,33,66.0,97
29,3,Shigh,7,42.0,63
29,4,Shigh,7,42.0,63
