seed,seller_id,seller_class,n_sold,revenue,inventory_remaining
0,0,Slow,27,54.0,103
0,1,Slow,29,58.0,101
0,2,Slow,34,68.0,96
0,3,Shigh,8,48.0,62
0,4,Shigh,5,30.0,65
1,0,Slow,28,56.0,102
1,1,Slow,31,62.0,99
1,2,Slow,27,54.0,103
1,3,Shigh,6,36.0,64
1,4,Shigh,3,18.0,67
2,0,Slow,33,66.0,97
2,1,Slow,29,58.0,101
2,2,Slow,34,68.0,96
2,3,Shigh,6,36.0,64
2,4,Shigh,4,24.0,66
3,0,Slow,26,52.0,104
3,1,Slow,32,64.0,98
3,2,Slow,33,66.0,97
3,3,Shigh,4,24.0,66
3,4,Shigh,7,42.0,63
4,0,Slow,29,58.0,101
4,1,Slow,26,52.0,104
4,2,Slow,27,54.0,103
4,3,Shigh,8,48.0,62
4,4,Shigh,8,48.0,62
5,0,Slow,27,54.0,103
5,1,Slow,25,50.0,105
5,2,Slow,36,72.0,94
5,3,Shigh,3,18.0,67
5,4,Shigh,10,60.0,60
6,0,Slow,28,56.0,102
6,1,Slow,23,46.0,107
6,2,Slow,28,56.0,102
6,3,Shigh,9,54.0,61
6,4,Shigh,9,54.0,61
7,0,Slow,34,68.0,96
7,1,Slow,28,56.0,102
7,2,Slow,28,56.0,102
7,3,Shigh,3,18.0,67
7,4,Shigh,6,36.0,64
8,0,Slow,32,64.0,98
8,1,Slow,23,46.0,107
8,2,Slow,32,64.0,98
8,3,Shigh,4,24.0,66
8,4,Shigh,6,36.0,64
9,0,Slow,23,46.0,107
9,1,Slow,27,54.0,103
9,2,Slow,34,68.0,96
9,3,Shigh,4,24.0,66
9,4,Shigh,9,54.0,61
10,0,Slow,20,40.0,110
10,1,Slow,35,70.0,95
10,2,Slow,29,58.0,101
10,3,Shigh,7,42.0,63
10,4,Shigh,6,36.0,64
11,0,Slow,29,58.0,101
11,1,Slow,27,54.0,103
11,2,Slow,31,62.0,99
11,3,Shigh,5,30.0,65
11,4,Shigh,8,48.0,62
12,0,Slow,22,44.0,108
12,1,Slow,34,68.0,96
12,2,Slow,35,70.0,95
12,3,Shigh,7,42.0,63
12,4,Shigh,5,30.0,65
13,0,Slow,26,52.0,104
13,1,Slow,30,60.0,100
13,2,Slow,32,64.0,98
13,3,Shigh,7,42.0,63
13,4,Shigh,3,18.0,67
14,0,Slow,24,48.0,106
14,1,Slow,37,74.0,93
14,2,Slow,30,60.0,100
14,3,Shigh,3,18.0,67
14,4,Shigh,11,66.0,59
15,0,Slow,26,52.0,104
15,1,Slow,29,58.0,101
15,2,Slow,32,64.0,98
15,3,Shigh,7,42.0,63
15,4,Shigh,2,12.0,68
16,0,Slow,25,50.0,105
16,1,Slow,28,56.0,102
16,2,Slow,29,58.0,101
16,3,Shigh,5,30.0,65
16,4,Shigh,10,60.0,60
17,0,Slow,24,48.0,106
17,1,Slow,34,68.0,96
17,2,Slow,30,60.0,100
17,3,Shigh,9,54.0,61
17,4,Shigh,6,36.0,64
18,0,Slow,28,56.0,102
18,1,Slow,29,58.0,101
18,2,Slow,26,52.0,104
18,3,Shigh,7,42.0,63
18,4,Shigh,5,30.0,65
19,0,Slow,32,64.0,98
19,1,Slow,29,58.0,101
19,2,Slow,33,66.0,97
19,3,Shigh,6,36.0,64
19,4,Shigh,6,36.0,64
20,0,Slow,28,56.0,102
20,1,Slow,27,54.0,103
20,2,Slow,29,58.0,101
20,3,Shigh,10,60.0,60
20,4,Shigh,6,36.0,64
21,0,Slow,28,56.0,102
21,1,Slow,26,52.0,104
21,2,Slow,30,60.0,100
21,3,Shigh,8,48.0,62
21,4,Shigh,3,18.0,67
22,0,Slow,32,64.0,98
22,1,Slow,22,44.0,108
22,2,Slow,33,66.0,97
22,3,Shigh,7,42.0,63
22,4,Shigh,6,36.0,64
23,0,Slow,34,68.0,96
23,1,Slow,36,72.0,94
23,2,Slow,27,54.0,103
23,3,Shigh,4,24.0,66
23,4,Shigh,8,48.0,62
24,0,Slow,30,60.0,100
24,1,Slow,27,54.0,103
24,2,Slow,29,58.0,101
24,3,Shigh,13,78.0,57
24,4,Shigh,2,12.0,68
25,0,Slow,33,66.0,97
25,1,Slow,30,60.0,100
25,2,Slow,27,54.0,103
25,3,Shigh,7,42.0,63
25,4,Shigh,3,18.0,67
26,0,Slow,32,64.0,98
26,1,Slow,35,70.0,95
26,2,Slow,26,52.0,104
26,3,Shigh,5,30.0,65
26,4,Shigh,6,36.0,64
27,0,Slow,26,52.0,104
27,1,Slow,34,68.0,96
27,2,Slow,27,54.0,103
27,3,Shigh,7,42.0,63
27,4,Shigh,8,48.0,62
28,0,Slow,29,58.0,101
28,1,Slow,27,54.0,103
28,2,Slow,30,60.0,100
28,3,Shigh,6,36.0,64
28,4,Shigh,6,36.0,64
29,0,Slow,26,52.0,104
29,1,Slow,30,60.0,100
29,2,Slow,35,70.0,95
29,3,Shigh,6,36.0,64
29,4,Shigh,7,42.0,63
