seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,promotion_active,promotion_seller_id,promotion_seller_class,promotion_discount,visibility_rate_seller_0,visibility_rate_seller_1,visibility_rate_seller_2,visibility_rate_seller_3,visibility_rate_seller_4,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
0,0.72,0.94,233.2,436,131,172,0,103,True,4,Shigh,0.3,0.89,0.97,0.64,0.87,0.6,0.6428571428571429,1.0,0.0,42,103,0.9,0.7857142857142857,0.21428571428571427,8,13,0.9,0.6190476190476191,0.38095238095238093,1,5
1,0.77,0.93,222.8,437,139,191,0,77,True,4,Shigh,0.3,0.95,0.96,0.66,0.96,0.7,0.7142857142857143,1.0,0.0,52,116,0.85,0.76,0.24,9,10,1.0,0.7222222222222222,0.2777777777777778,1,3
2,0.77,0.96,223.0,434,130,193,0,81,True,4,Shigh,0.3,0.95,0.97,0.69,0.87,0.71,0.7428571428571429,1.0,0.0,55,110,0.75,0.782608695652174,0.21739130434782608,9,13,1.0,0.7619047619047619,0.23809523809523808,1,5
3,0.77,0.93,221.4,437,139,168,0,100,True,4,Shigh,0.3,0.94,0.93,0.63,0.89,0.61,0.7142857142857143,1.0,0.0,48,101,0.85,0.8076923076923077,0.19230769230769232,5,12,1.0,0.5882352941176471,0.4117647058823529,0,2
4,0.75,0.91,225.0,439,145,177,0,87,True,4,Shigh,0.3,0.94,0.95,0.7,0.88,0.66,0.6857142857142857,1.0,0.0,45,109,0.9,0.68,0.32,13,6,0.9,0.7222222222222222,0.2777777777777778,0,4
5,0.8,0.94,234.4,436,132,186,0,88,True,4,Shigh,0.3,0.89,0.94,0.67,0.91,0.71,0.7571428571428571,1.0,0.0,52,110,0.85,0.5454545454545454,0.45454545454545453,8,12,1.0,0.631578947368421,0.3684210526315789,0,4
6,0.76,0.9,237.6,440,139,177,0,94,True,4,Shigh,0.3,0.95,0.94,0.62,0.89,0.66,0.7571428571428571,1.0,0.0,53,105,0.7,0.4375,0.5625,8,6,0.9,0.5714285714285714,0.42857142857142855,0,5
7,0.77,0.96,225.6,434,131,187,0,86,True,4,Shigh,0.3,0.97,0.96,0.65,0.91,0.65,0.7,1.0,0.0,59,105,0.95,0.7,0.3,5,14,0.9,0.8235294117647058,0.17647058823529413,1,3
8,0.73,0.92,217.2,438,133,181,0,94,True,4,Shigh,0.3,0.94,0.98,0.62,0.88,0.64,0.6285714285714286,1.0,0.0,47,107,1.0,0.7878787878787878,0.21212121212121213,11,14,0.9,0.7333333333333333,0.26666666666666666,0,2
9,0.74,0.91,221.4,439,136,201,0,72,True,4,Shigh,0.3,0.97,0.95,0.68,0.94,0.74,0.6571428571428571,1.0,0.0,59,119,0.9,0.75,0.25,6,13,1.0,0.6470588235294118,0.35294117647058826,0,4
10,0.79,0.99,235.2,431,129,189,0,83,True,4,Shigh,0.3,0.95,0.99,0.66,0.9,0.67,0.7428571428571429,1.0,0.0,65,106,0.9,0.7777777777777778,0.2222222222222222,1,12,0.9,0.7,0.3,1,4
11,0.75,0.84,205.2,446,139,181,0,96,True,4,Shigh,0.3,0.96,0.94,0.63,0.91,0.6,0.7,1.0,0.0,51,109,0.85,0.6521739130434783,0.34782608695652173,8,10,0.9,0.6666666666666666,0.3333333333333333,0,3
12,0.76,0.89,216.6,441,131,192,0,88,True,4,Shigh,0.3,0.93,0.91,0.68,0.9,0.7,0.7714285714285715,1.0,0.0,61,117,0.7,0.6666666666666666,0.3333333333333333,6,8,0.8,0.7142857142857143,0.2857142857142857,0,0
13,0.71,0.83,196.6,447,157,181,0,79,True,4,Shigh,0.3,0.98,0.94,0.69,0.93,0.67,0.7142857142857143,1.0,0.0,52,110,0.6,0.7142857142857143,0.2857142857142857,6,10,0.9,0.7368421052631579,0.2631578947368421,1,2
14,0.75,0.96,226.0,434,136,175,0,93,True,4,Shigh,0.3,0.95,0.97,0.66,0.86,0.63,0.6857142857142857,1.0,0.0,48,103,0.95,0.7575757575757576,0.24242424242424243,7,16,0.8,0.6666666666666666,0.3333333333333333,0,1
15,0.73,0.89,214.8,441,143,180,0,88,True,4,Shigh,0.3,0.96,0.95,0.63,0.92,0.66,0.6142857142857143,1.0,0.0,45,110,1.0,0.7931034482758621,0.20689655172413793,10,12,1.0,0.7058823529411765,0.29411764705882354,0,3
16,0.73,0.93,223.6,437,133,186,0,88,True,4,Shigh,0.3,0.95,0.94,0.6,0.95,0.68,0.6428571428571429,1.0,0.0,49,113,0.9,0.7142857142857143,0.2857142857142857,7,14,1.0,0.75,0.25,0,3
17,0.79,0.96,241.2,434,130,186,0,88,True,4,Shigh,0.3,0.93,0.98,0.58,0.93,0.7,0.7428571428571429,1.0,0.0,46,116,0.9,0.6923076923076923,0.3076923076923077,7,11,0.9,0.6111111111111112,0.3888888888888889,2,4
18,0.69,0.82,199.4,448,125,189,0,104,True,4,Shigh,0.3,0.94,0.94,0.6,0.83,0.65,0.6428571428571429,1.0,0.0,60,105,0.75,0.6363636363636364,0.36363636363636365,12,10,0.9,0.7333333333333333,0.26666666666666666,0,2
19,0.77,0.94,225.6,436,127,190,0,89,True,4,Shigh,0.3,0.97,0.96,0.61,0.89,0.68,0.6857142857142857,1.0,0.0,51,112,0.95,0.68,0.32,12,12,1.0,0.7619047619047619,0.23809523809523808,0,3
20,0.73,0.94,247.8,436,134,185,0,87,True,4,Shigh,0.3,0.94,0.95,0.68,0.9,0.66,0.6571428571428571,1.0,0.0,51,101,0.85,0.6,0.4,15,10,1.0,0.6086956521739131,0.391304347826087,1,7
21,0.78,0.94,235.0,436,134,197,0,75,True,4,Shigh,0.3,0.96,0.96,0.75,0.91,0.67,0.7285714285714285,1.0,0.0,64,105,0.9,0.6666666666666666,0.3333333333333333,8,14,0.9,0.6842105263157895,0.3157894736842105,1,5
22,0.75,0.92,224.8,438,136,181,0,91,True,4,Shigh,0.3,0.94,0.92,0.65,0.96,0.62,0.7142857142857143,1.0,0.0,56,108,0.85,0.75,0.25,3,11,0.8,0.6666666666666666,0.3333333333333333,0,3
23,0.8,0.99,221.0,431,123,188,0,90,True,4,Shigh,0.3,0.97,0.98,0.65,0.92,0.58,0.7714285714285715,1.0,0.0,63,107,0.8,0.8928571428571429,0.10714285714285714,3,12,1.0,0.7058823529411765,0.29411764705882354,0,3
24,0.75,0.93,242.8,437,124,195,0,88,True,4,Shigh,0.3,0.95,0.97,0.6,0.89,0.71,0.7,1.0,0.0,56,111,0.85,0.6666666666666666,0.3333333333333333,11,11,0.9,0.6,0.4,1,5
25,0.75,0.86,198.6,444,142,178,0,94,True,4,Shigh,0.3,0.97,0.88,0.62,0.91,0.68,0.7,1.0,0.0,47,113,0.8,0.7727272727272727,0.22727272727272727,5,10,1.0,0.8,0.2,0,3
26,0.74,0.96,216.8,434,134,185,0,85,True,4,Shigh,0.3,0.98,0.95,0.62,0.9,0.7,0.6857142857142857,1.0,0.0,47,117,0.8,0.8928571428571429,0.10714285714285714,2,15,1.0,0.75,0.25,1,3
27,0.76,0.96,228.8,434,119,201,0,84,True,4,Shigh,0.3,0.94,0.94,0.68,0.95,0.65,0.6714285714285714,1.0,0.0,63,114,0.95,0.7777777777777778,0.2222222222222222,9,11,1.0,0.7727272727272727,0.22727272727272727,1,3
28,0.77,0.95,223.2,435,119,189,0,97,True,4,Shigh,0.3,0.93,0.94,0.62,0.9,0.64,0.7285714285714285,1.0,0.0,58,110,0.85,0.7407407407407407,0.25925925925925924,9,10,0.9,0.7647058823529411,0.23529411764705882,0,2
29,0.74,0.89,219.6,441,133,186,0,92,True,4,Shigh,0.3,0.97,0.92,0.64,0.95,0.6,0.6571428571428571,1.0,0.0,54,111,0.9,0.72,0.28,7,11,1.0,0.6111111111111112,0.3888888888888889,0,3
