seed,seller_id,seller_class,n_sold,revenue,inventory_remaining,position_score,visibility_prob,visibility_rate
0,0,Slow,24,48.0,106,0.9,0.95,0.89
0,1,Slow,31,62.0,99,0.9,0.95,0.97
0,2,Slow,25,50.0,105,0.3,0.65,0.64
0,3,Shigh,8,48.0,62,0.8,0.9,0.87
0,4,Shigh,6,25.199999999999996,64,0.3,0.65,0.6
1,0,Slow,29,58.0,101,0.9,0.95,0.95
1,1,Slow,36,72.0,94,0.9,0.95,0.96
1,2,Slow,17,34.0,113,0.3,0.65,0.66
1,3,Shigh,7,42.0,63,0.8,0.9,0.96
1,4,Shigh,4,16.799999999999997,66,0.3,0.65,0.7
2,0,Slow,36,72.0,94,0.9,0.95,0.95
2,1,Slow,29,58.0,101,0.9,0.95,0.97
2,2,Slow,21,42.0,109,0.3,0.65,0.69
2,3,Shigh,5,30.0,65,0.8,0.9,0.87
2,4,Shigh,5,20.999999999999996,65,0.3,0.65,0.71
3,0,Slow,27,54.0,103,0.9,0.95,0.94
3,1,Slow,32,64.0,98,0.9,0.95,0.93
3,2,Slow,22,44.0,108,0.3,0.65,0.63
3,3,Shigh,5,30.0,65,0.8,0.9,0.89
3,4,Shigh,7,29.399999999999995,63,0.3,0.65,0.61
4,0,Slow,29,58.0,101,0.9,0.95,0.94
4,1,Slow,27,54.0,103,0.9,0.95,0.95
4,2,Slow,22,44.0,108,0.3,0.65,0.7
4,3,Shigh,8,48.0,62,0.8,0.9,0.88
4,4,Shigh,5,20.999999999999996,65,0.3,0.65,0.66
5,0,Slow,25,50.0,105,0.9,0.95,0.89
5,1,Slow,26,52.0,104,0.9,0.95,0.94
5,2,Slow,26,52.0,104,0.3,0.65,0.67
5,3,Shigh,5,30.0,65,0.8,0.9,0.91
5,4,Shigh,12,50.400000000000006,58,0.3,0.65,0.71
6,0,Slow,28,56.0,102,0.9,0.95,0.95
6,1,Slow,26,52.0,104,0.9,0.95,0.94
6,2,Slow,18,36.0,112,0.3,0.65,0.62
6,3,Shigh,10,60.0,60,0.8,0.9,0.89
6,4,Shigh,8,33.599999999999994,62,0.3,0.65,0.66
7,0,Slow,36,72.0,94,0.9,0.95,0.97
7,1,Slow,31,62.0,99,0.9,0.95,0.96
7,2,Slow,17,34.0,113,0.3,0.65,0.65
7,3,Shigh,4,24.0,66,0.8,0.9,0.91
7,4,Shigh,8,33.599999999999994,62,0.3,0.65,0.65
8,0,Slow,33,66.0,97,0.9,0.95,0.94
8,1,Slow,25,50.0,105,0.9,0.95,0.98
8,2,Slow,23,46.0,107,0.3,0.65,0.62
8,3,Shigh,5,30.0,65,0.8,0.9,0.88
8,4,Shigh,6,25.199999999999996,64,0.3,0.65,0.64
9,0,Slow,24,48.0,106,0.9,0.95,0.97
9,1,Slow,28,56.0,102,0.9,0.95,0.95
9,2,Slow,26,52.0,104,0.3,0.65,0.68
9,3,Shigh,6,36.0,64,0.8,0.9,0.94
9,4,Shigh,7,29.399999999999995,63,0.3,0.65,0.74
10,0,Slow,24,48.0,106,0.9,0.95,0.95
10,1,Slow,36,72.0,94,0.9,0.95,0.99
10,2,Slow,27,54.0,103,0.3,0.65,0.66
10,3,Shigh,6,36.0,64,0.8,0.9,0.9
10,4,Shigh,6,25.199999999999996,64,0.3,0.65,0.67
11,0,Slow,28,56.0,102,0.9,0.95,0.96
11,1,Slow,26,52.0,104,0.9,0.95,0.94
11,2,Slow,18,36.0,112,0.3,0.65,0.63
11,3,Shigh,6,36.0,64,0.8,0.9,0.91
11,4,Shigh,6,25.199999999999996,64,0.3,0.65,0.6
12,0,Slow,26,52.0,104,0.9,0.95,0.93
12,1,Slow,31,62.0,99,0.9,0.95,0.91
12,2,Slow,21,42.0,109,0.3,0.65,0.68
12,3,Shigh,8,48.0,62,0.8,0.9,0.9
12,4,Shigh,3,12.599999999999998,67,0.3,0.65,0.7
13,0,Slow,27,54.0,103,0.9,0.95,0.98
13,1,Slow,29,58.0,101,0.9,0.95,0.94
13,2,Slow,18,36.0,112,0.3,0.65,0.69
13,3,Shigh,6,36.0,64,0.8,0.9,0.93
13,4,Shigh,3,12.599999999999998,67,0.3,0.65,0.67
14,0,Slow,26,52.0,104,0.9,0.95,0.95
14,1,Slow,39,78.0,91,0.9,0.95,0.97
14,2,Slow,18,36.0,112,0.3,0.65,0.66
14,3,Shigh,3,18.0,67,0.8,0.9,0.86
14,4,Shigh,10,42.0,60,0.3,0.65,0.63
15,0,Slow,27,54.0,103,0.9,0.95,0.96
15,1,Slow,31,62.0,99,0.9,0.95,0.95
15,2,Slow,20,40.0,110,0.3,0.65,0.63
15,3,Shigh,7,42.0,63,0.8,0.9,0.92
15,4,Shigh,4,16.799999999999997,66,0.3,0.65,0.66
16,0,Slow,27,54.0,103,0.9,0.95,0.95
16,1,Slow,32,64.0,98,0.9,0.95,0.94
16,2,Slow,21,42.0,109,0.3,0.65,0.6
16,3,Shigh,5,30.0,65,0.8,0.9,0.95
16,4,Shigh,8,33.599999999999994,62,0.3,0.65,0.68
17,0,Slow,26,52.0,104,0.9,0.95,0.93
17,1,Slow,34,68.0,96,0.9,0.95,0.98
17,2,Slow,21,42.0,109,0.3,0.65,0.58
17,3,Shigh,9,54.0,61,0.8,0.9,0.93
17,4,Shigh,6,25.199999999999996,64,0.3,0.65,0.7
18,0,Slow,26,52.0,104,0.9,0.95,0.94
18,1,Slow,27,54.0,103,0.9,0.95,0.94
18,2,Slow,17,34.0,113,0.3,0.65,0.6
18,3,Shigh,5,30.0,65,0.8,0.9,0.83
18,4,Shigh,7,29.399999999999995,63,0.3,0.65,0.65
19,0,Slow,34,68.0,96,0.9,0.95,0.97
19,1,Slow,27,54.0,103,0.9,0.95,0.96
19,2,Slow,20,40.0,110,0.3,0.65,0.61
19,3,Shigh,5,30.0,65,0.8,0.9,0.89
19,4,Shigh,8,33.599999999999994,62,0.3,0.65,0.68
20,0,Slow,26,52.0,104,0.9,0.95,0.94
20,1,Slow,29,58.0,101,0.9,0.95,0.95
20,2,Slow,20,40.0,110,0.3,0.65,0.68
20,3,Shigh,10,60.0,60,0.8,0.9,0.9
20,4,Shigh,9,37.8,61,0.3,0.65,0.66
21,0,Slow,26,52.0,104,0.9,0.95,0.96
21,1,Slow,26,52.0,104,0.9,0.95,0.96
21,2,Slow,28,56.0,102,0.3,0.65,0.75
21,3,Shigh,9,54.0,61,0.8,0.9,0.91
21,4,Shigh,5,20.999999999999996,65,0.3,0.65,0.67
22,0,Slow,34,68.0,96,0.9,0.95,0.94
22,1,Slow,25,50.0,105,0.9,0.95,0.92
22,2,Slow,21,42.0,109,0.3,0.65,0.65
22,3,Shigh,8,48.0,62,0.8,0.9,0.96
22,4,Shigh,4,16.799999999999997,66,0.3,0.65,0.62
23,0,Slow,35,70.0,95,0.9,0.95,0.97
23,1,Slow,36,72.0,94,0.9,0.95,0.98
23,2,Slow,20,40.0,110,0.3,0.65,0.65
23,3,Shigh,3,18.0,67,0.8,0.9,0.92
23,4,Shigh,5,20.999999999999996,65,0.3,0.65,0.58
24,0,Slow,31,62.0,99,0.9,0.95,0.95
24,1,Slow,28,56.0,102,0.9,0.95,0.97
24,2,Slow,18,36.0,112,0.3,0.65,0.6
24,3,Shigh,12,72.0,58,0.8,0.9,0.89
24,4,Shigh,4,16.799999999999997,66,0.3,0.65,0.71
25,0,Slow,35,70.0,95,0.9,0.95,0.97
25,1,Slow,29,58.0,101,0.9,0.95,0.88
25,2,Slow,14,28.0,116,0.3,0.65,0.62
25,3,Shigh,5,30.0,65,0.8,0.9,0.91
25,4,Shigh,3,12.599999999999998,67,0.3,0.65,0.68
26,0,Slow,33,66.0,97,0.9,0.95,0.98
26,1,Slow,34,68.0,96,0.9,0.95,0.95
26,2,Slow,21,42.0,109,0.3,0.65,0.62
26,3,Shigh,4,24.0,66,0.8,0.9,0.9
26,4,Shigh,4,16.799999999999997,66,0.3,0.65,0.7
27,0,Slow,28,56.0,102,0.9,0.95,0.94
27,1,Slow,35,70.0,95,0.9,0.95,0.94
27,2,Slow,22,44.0,108,0.3,0.65,0.68
27,3,Shigh,7,42.0,63,0.8,0.9,0.95
27,4,Shigh,4,16.799999999999997,66,0.3,0.65,0.65
28,0,Slow,31,62.0,99,0.9,0.95,0.93
28,1,Slow,28,56.0,102,0.9,0.95,0.94
28,2,Slow,25,50.0,105,0.3,0.65,0.62
28,3,Shigh,5,30.0,65,0.8,0.9,0.9
28,4,Shigh,6,25.199999999999996,64,0.3,0.65,0.64
29,0,Slow,25,50.0,105,0.9,0.95,0.97
29,1,Slow,31,62.0,99,0.9,0.95,0.92
29,2,Slow,19,38.0,111,0.3,0.65,0.64
29,3,Shigh,6,36.0,64,0.8,0.9,0.95
29,4,Shigh,8,33.599999999999994,62,0.3,0.65,0.6
