seed,buyer_id,buyer_class,n_purchases,total_spent,budget_remaining
0,0,Poor,1,2.0,1.0
0,1,Poor,1,1.4,1.6
0,2,Poor,1,1.4,1.6
0,3,Poor,1,1.4,1.6
0,4,Poor,1,2.0,1.0
0,5,Poor,1,2.0,1.0
0,6,Poor,1,1.4,1.6
0,7,Poor,1,2.0,1.0
0,8,Poor,1,1.4,1.6
0,9,Poor,1,1.4,1.6
0,10,Poor,1,2.0,1.0
0,11,Poor,1,2.0,1.0
0,12,Poor,0,0.0,3.0
0,13,Poor,1,2.0,1.0
0,14,Poor,1,2.0,1.0
0,15,Poor,1,2.0,1.0
0,16,Poor,0,0.0,3.0
0,17,Poor,1,2.0,1.0
0,18,Poor,0,0.0,3.0
0,19,Poor,1,1.4,1.6
0,20,Poor,0,0.0,3.0
0,21,Poor,1,1.4,1.6
0,22,Poor,1,2.0,1.0
0,23,Poor,1,2.0,1.0
0,24,Poor,1,1.4,1.6
0,25,Poor,0,0.0,3.0
0,26,Poor,0,0.0,3.0
0,27,Poor,1,2.0,1.0
0,28,Poor,1,1.4,1.6
0,29,Poor,0,0.0,3.0
0,30,Poor,1,2.0,1.0
0,31,Poor,1,2.0,1.0
0,32,Poor,0,0.0,3.0
0,33,Poor,0,0.0,3.0
0,34,Poor,1,1.4,1.6
0,35,Poor,1,1.4,1.6
0,36,Poor,1,2.0,1.0
0,37,Poor,1,1.4,1.6
0,38,Poor,1,2.0,1.0
0,39,Poor,1,2.0,1.0
0,40,Poor,0,0.0,3.0
0,41,Poor,1,2.0,1.0
0,42,Poor,1,2.0,1.0
0,43,Poor,0,0.0,3.0
0,44,Poor,1,1.4,1.6
0,45,Poor,1,1.4,1.6
0,46,Poor,0,0.0,3.0
0,47,Poor,0,0.0,3.0
0,48,Poor,0,0.0,3.0
0,49,Poor,1,2.0,1.0
0,50,Poor,1,2.0,1.0
0,51,Poor,0,0.0,3.0
0,52,Poor,1,2.0,1.0
0,53,Poor,0,0.0,3.0
0,54,Poor,1,1.4,1.6
0,55,Poor,1,1.4,1.6
0,56,Poor,0,0.0,3.0
0,57,Poor,1,2.0,1.0
0,58,Poor,0,0.0,3.0
0,59,Poor,1,1.4,1.6
0,60,Poor,1,2.0,1.0
0,61,Poor,0,0.0,3.0
0,62,Poor,1,1.4,1.6
0,63,Poor,0,0.0,3.0
0,64,Poor,1,2.0,1.0
0,65,Poor,0,0.0,3.0
0,66,Poor,1,2.0,1.0
0,67,Poor,0,0.0,3.0
0,68,Poor,0,0.0,3.0
0,69,Poor,0,0.0,3.0
0,70,Middle,1,6.0,1.0
0,71,Middle,3,5.4,1.6
0,72,Middle,2,3.4,3.6
0,73,Middle,2,4.0,3.0
0,74,Middle,0,0.0,7.0
0,75,Middle,3,5.4,1.6
0,76,Middle,1,2.0,5.0
0,77,Middle,1,6.0,1.0
0,78,Middle,1,2.0,5.0
0,79,Middle,1,2.0,5.0
0,80,Middle,2,4.0,3.0
0,81,Middle,1,6.0,1.0
0,82,Middle,2,4.0,3.0
0,83,Middle,2,4.0,3.0
0,84,Middle,1,1.4,5.6
0,85,Middle,0,0.0,7.0
0,86,Middle,1,2.0,5.0
0,87,Middle,1,6.0,1.0
0,88,Middle,1,2.0,5.0
0,89,Middle,1,2.0,5.0
0,90,Rich,2,4.0,6.0
0,91,Rich,2,8.0,2.0
0,92,Rich,3,5.4,4.6
0,93,Rich,2,7.4,2.5999999999999996
0,94,Rich,0,0.0,10.0
0,95,Rich,3,9.4,0.6000000000000001
0,96,Rich,3,9.4,0.5999999999999996
0,97,Rich,1,6.0,4.0
0,98,Rich,2,8.0,2.0
0,99,Rich,2,8.0,2.0
1,0,Poor,0,0.0,3.0
1,1,Poor,1,2.0,1.0
1,2,Poor,0,0.0,3.0
1,3,Poor,1,2.0,1.0
1,4,Poor,0,0.0,3.0
1,5,Poor,1,2.0,1.0
1,6,Poor,0,0.0,3.0
1,7,Poor,1,2.0,1.0
1,8,Poor,1,2.0,1.0
