seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,promotion_active,promotion_seller_id,promotion_seller_class,promotion_discount,visibility_rate_seller_0,visibility_rate_seller_1,visibility_rate_seller_2,visibility_rate_seller_3,visibility_rate_seller_4,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
0,0.72,0.94,211.79999999999998,436,137,166,0,103,True,0,Slow,0.3,0.89,0.97,0.64,0.87,0.6,0.6571428571428571,1.0,0.0,38,103,0.85,0.8888888888888888,0.1111111111111111,3,16,0.9,0.65,0.35,0,6
1,0.75,0.88,208.0,442,136,199,0,77,False,-1,none,0.3,0.95,0.96,0.66,0.96,0.7,0.6857142857142857,1.0,0.0,52,116,0.85,0.8695652173913043,0.13043478260869565,8,16,1.0,0.7058823529411765,0.29411764705882354,2,5
2,0.77,0.93,218.0,437,131,195,0,81,False,-1,none,0.3,0.95,0.97,0.69,0.87,0.71,0.7428571428571429,1.0,0.0,54,110,0.75,0.8636363636363636,0.13636363636363635,7,17,1.0,0.7368421052631579,0.2631578947368421,1,6
3,0.74,0.87,218.0,443,138,175,0,100,False,-1,none,0.3,0.94,0.93,0.63,0.89,0.61,0.6714285714285714,1.0,0.0,45,101,0.85,0.7916666666666666,0.20833333333333334,8,17,1.0,0.625,0.375,0,4
4,0.74,0.9,228.0,440,142,181,0,87,False,-1,none,0.3,0.94,0.95,0.7,0.88,0.66,0.6714285714285714,1.0,0.0,45,109,0.9,0.72,0.28,11,9,0.9,0.7222222222222222,0.2777777777777778,1,6
5,0.76,0.87,214.0,443,132,193,0,88,False,-1,none,0.3,0.89,0.94,0.67,0.91,0.71,0.7142857142857143,1.0,0.0,47,110,0.8,0.7,0.3,11,18,1.0,0.7647058823529411,0.23529411764705882,0,7
6,0.73,0.84,232.0,446,137,185,0,94,False,-1,none,0.3,0.95,0.94,0.62,0.89,0.66,0.7,1.0,0.0,48,105,0.75,0.5882352941176471,0.4117647058823529,13,12,0.9,0.5,0.5,4,3
7,0.75,0.93,223.6,437,133,188,0,86,True,4,Shigh,0.3,0.97,0.96,0.65,0.91,0.65,0.6714285714285714,1.0,0.0,54,105,0.95,0.6551724137931034,0.3448275862068966,9,15,0.9,0.8235294117647058,0.17647058823529413,1,4
8,0.72,0.89,210.0,441,132,185,0,94,False,-1,none,0.3,0.94,0.98,0.62,0.88,0.64,0.6142857142857143,1.0,0.0,46,107,1.0,0.8709677419354839,0.12903225806451613,9,19,0.9,0.7333333333333333,0.26666666666666666,2,2
9,0.74,0.89,222.0,441,137,202,0,72,False,-1,none,0.3,0.97,0.95,0.68,0.94,0.74,0.6571428571428571,1.0,0.0,58,119,0.9,0.8148148148148148,0.18518518518518517,6,14,1.0,0.625,0.375,1,4
10,0.79,0.96,220.39999999999998,434,117,204,0,83,True,0,Slow,0.3,0.95,0.99,0.66,0.9,0.67,0.7428571428571429,1.0,0.0,63,106,0.9,0.7692307692307693,0.23076923076923078,10,18,0.9,0.7222222222222222,0.2777777777777778,2,5
11,0.72,0.82,195.4,448,149,173,0,96,True,3,Shigh,0.3,0.96,0.94,0.63,0.91,0.6,0.6714285714285714,1.0,0.0,48,109,0.85,0.7083333333333334,0.2916666666666667,3,11,0.8,0.6363636363636364,0.36363636363636365,0,2
12,0.75,0.89,197.79999999999998,441,136,187,0,88,True,0,Slow,0.3,0.93,0.91,0.68,0.9,0.7,0.7714285714285715,1.0,0.0,51,117,0.65,0.7368421052631579,0.2631578947368421,7,11,0.8,0.7142857142857143,0.2857142857142857,1,0
13,0.68,0.79,182.0,451,155,187,0,79,False,-1,none,0.3,0.98,0.94,0.69,0.93,0.67,0.6714285714285714,1.0,0.0,49,110,0.6,0.8571428571428571,0.14285714285714285,3,19,0.9,0.7777777777777778,0.2222222222222222,2,4
14,0.74,0.91,222.0,439,134,182,0,93,False,-1,none,0.3,0.95,0.97,0.66,0.86,0.63,0.6714285714285714,1.0,0.0,46,103,0.95,0.8275862068965517,0.1724137931034483,10,20,0.8,0.6666666666666666,0.3333333333333333,1,2
15,0.7,0.82,196.0,448,145,185,0,88,False,-1,none,0.3,0.96,0.95,0.63,0.92,0.66,0.5857142857142857,1.0,0.0,45,110,0.95,0.875,0.125,9,18,1.0,0.7058823529411765,0.29411764705882354,0,3
16,0.69,0.87,210.0,443,132,193,0,88,False,-1,none,0.3,0.95,0.94,0.6,0.95,0.68,0.6285714285714286,1.0,0.0,47,113,0.75,0.8333333333333334,0.16666666666666666,8,20,1.0,0.7368421052631579,0.2631578947368421,2,3
17,0.78,0.9,232.0,440,124,198,0,88,False,-1,none,0.3,0.93,0.98,0.58,0.93,0.7,0.7285714285714285,1.0,0.0,46,116,0.9,0.6818181818181818,0.3181818181818182,14,14,0.9,0.6470588235294118,0.35294117647058826,3,5
