seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,promotion_active,promotion_seller_id,promotion_seller_class,promotion_discount,visibility_rate_seller_0,visibility_rate_seller_1,visibility_rate_seller_2,visibility_rate_seller_3,visibility_rate_seller_4,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
0,0.7,0.89,203.0,441,143,165,0,103,True,0,Slow,0.3,0.89,0.97,0.64,0.87,0.6,0.6428571428571429,1.0,0.0,38,103,0.8,0.8846153846153846,0.11538461538461539,3,16,0.9,0.5882352941176471,0.4117647058823529,0,5
1,0.75,0.86,208.0,444,142,195,0,77,False,-1,none,0.3,0.95,0.96,0.66,0.96,0.7,0.6857142857142857,1.0,0.0,51,116,0.85,0.8181818181818182,0.18181818181818182,8,13,1.0,0.6875,0.3125,2,5
2,0.74,0.89,210.0,441,140,190,0,81,False,-1,none,0.3,0.95,0.97,0.69,0.87,0.71,0.7285714285714285,1.0,0.0,53,110,0.65,0.7894736842105263,0.21052631578947367,7,13,1.0,0.7894736842105263,0.21052631578947367,1,6
3,0.7,0.81,206.0,449,145,174,0,100,False,-1,none,0.3,0.94,0.93,0.63,0.89,0.61,0.6571428571428571,1.0,0.0,44,101,0.8,0.7727272727272727,0.22727272727272727,8,17,0.8,0.5384615384615384,0.46153846153846156,0,4
4,0.72,0.86,216.0,444,150,177,0,87,False,-1,none,0.3,0.94,0.95,0.7,0.88,0.66,0.6714285714285714,1.0,0.0,44,109,0.85,0.7272727272727273,0.2727272727272727,9,8,0.8,0.7058823529411765,0.29411764705882354,1,6
5,0.73,0.82,208.0,448,141,189,0,88,False,-1,none,0.3,0.89,0.94,0.67,0.91,0.71,0.6857142857142857,1.0,0.0,46,110,0.75,0.6111111111111112,0.3888888888888889,9,17,1.0,0.75,0.25,0,7
6,0.7,0.79,222.0,451,149,178,0,94,False,-1,none,0.3,0.95,0.94,0.62,0.89,0.66,0.6714285714285714,1.0,0.0,43,105,0.7,0.5625,0.4375,13,12,0.9,0.4375,0.5625,2,3
7,0.74,0.89,215.6,441,138,187,0,86,True,4,Shigh,0.3,0.97,0.96,0.65,0.91,0.65,0.6571428571428571,1.0,0.0,54,105,0.95,0.6153846153846154,0.38461538461538464,8,15,0.9,0.8235294117647058,0.17647058823529413,1,4
8,0.72,0.86,200.0,444,138,182,0,94,False,-1,none,0.3,0.94,0.98,0.62,0.88,0.64,0.6142857142857143,1.0,0.0,44,107,1.0,0.8666666666666667,0.13333333333333333,9,19,0.9,0.7692307692307693,0.23076923076923078,1,2
9,0.72,0.81,198.0,449,148,199,0,72,False,-1,none,0.3,0.97,0.95,0.68,0.94,0.74,0.6571428571428571,1.0,0.0,58,119,0.9,0.8,0.2,6,13,0.8,0.6,0.4,0,3
10,0.78,0.91,198.39999999999998,439,134,192,0,83,True,0,Slow,0.3,0.95,0.99,0.66,0.9,0.67,0.7285714285714285,1.0,0.0,59,106,0.9,0.8695652173913043,0.13043478260869565,6,16,0.9,0.7058823529411765,0.29411764705882354,2,3
11,0.68,0.77,185.4,453,158,169,0,96,True,3,Shigh,0.3,0.96,0.94,0.63,0.91,0.6,0.6285714285714286,1.0,0.0,45,109,0.8,0.6818181818181818,0.3181818181818182,3,10,0.8,0.6363636363636364,0.36363636363636365,0,2
12,0.73,0.85,190.39999999999998,445,142,185,0,88,True,0,Slow,0.3,0.93,0.91,0.68,0.9,0.7,0.7571428571428571,1.0,0.0,51,117,0.6,0.7058823529411765,0.29411764705882354,7,9,0.8,0.6923076923076923,0.3076923076923077,1,0
13,0.65,0.76,176.0,454,162,183,0,79,False,-1,none,0.3,0.98,0.94,0.69,0.93,0.67,0.6428571428571429,1.0,0.0,46,110,0.55,0.8461538461538461,0.15384615384615385,3,18,0.9,0.7777777777777778,0.2222222222222222,2,4
14,0.71,0.86,212.0,444,143,178,0,93,False,-1,none,0.3,0.95,0.97,0.66,0.86,0.63,0.6428571428571429,1.0,0.0,44,103,0.9,0.8076923076923077,0.19230769230769232,10,18,0.8,0.6666666666666666,0.3333333333333333,1,2
15,0.69,0.81,194.0,449,147,184,0,88,False,-1,none,0.3,0.96,0.95,0.63,0.92,0.66,0.5714285714285714,1.0,0.0,44,110,0.95,0.875,0.125,9,18,1.0,0.7058823529411765,0.29411764705882354,0,3
16,0.67,0.83,202.0,447,139,190,0,88,False,-1,none,0.3,0.95,0.94,0.6,0.95,0.68,0.6285714285714286,1.0,0.0,46,113,0.7,0.8181818181818182,0.18181818181818182,8,18,0.9,0.7058823529411765,0.29411764705882354,2,3
17,0.77,0.87,230.0,443,127,198,0,88,False,-1,none,0.3,0.93,0.98,0.58,0.93,0.7,0.7285714285714285,1.0,0.0,46,116,0.85,0.6666666666666666,0.3333333333333333,14,14,0.9,0.5333333333333333,0.4666666666666667,4,4
18,0.65,0.74,180.0,456,134,188,0,104,False,-1,none,0.3,0.94,0.94,0.6,0.83,0.65,0.6285714285714286,1.0,0.0,59,105,0.6,0.75,0.25,6,16,0.9,0.7142857142857143,0.2857142857142857,0,2
19,0.75,0.86,204.0,444,132,193,0,89,False,-1,none,0.3,0.97,0.96,0.61,0.89,0.68,0.6857142857142857,1.0,0.0,50,112,0.85,0.8,0.2,9,17,1.0,0.7777777777777778,0.2222222222222222,2,3
20,0.7,0.83,226.0,447,140,190,0,87,False,-1,none,0.3,0.94,0.95,0.68,0.9,0.66,0.6142857142857143,1.0,0.0,47,101,0.85,0.7272727272727273,0.2727272727272727,12,18,1.0,0.5,0.5,5,7
21,0.74,0.87,226.0,443,139,199,0,75,False,-1,none,0.3,0.96,0.96,0.75,0.91,0.67,0.7142857142857143,1.0,0.0,60,105,0.8,0.6666666666666666,0.3333333333333333,12,16,0.8,0.625,0.375,1,5
22,0.72,0.85,218.0,445,133,191,0,91,False,-1,none,0.3,0.94,0.92,0.65,0.96,0.62,0.7,1.0,0.0,55,108,0.75,0.6666666666666666,0.3333333333333333,8,14,0.8,0.6666666666666666,0.3333333333333333,3,3
