seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,promotion_active,promotion_seller_id,promotion_seller_class,promotion_discount,visibility_rate_seller_0,visibility_rate_seller_1,visibility_rate_seller_2,visibility_rate_seller_3,visibility_rate_seller_4,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
0,0.67,0.8,204.0,450,105,153,0,87,False,-1,none,0.3,0.77,0.81,0.52,0.73,0.55,0.6285714285714286,1.0,0.0,38,87,0.8,0.7142857142857143,0.2857142857142857,11,13,0.7,0.6666666666666666,0.3333333333333333,0,4
0,0.64,0.74,160.0,456,112,164,0,70,False,-1,none,0.3,0.81,0.8,0.56,0.78,0.55,0.6714285714285714,1.0,0.0,45,100,0.55,0.9411764705882353,0.058823529411764705,3,15,0.6,0.8,0.2,0,1
0,0.68,0.79,182.0,451,105,165,0,81,False,-1,none,0.3,0.85,0.81,0.58,0.78,0.47,0.6571428571428571,1.0,0.0,52,87,0.75,0.8421052631578947,0.15789473684210525,7,17,0.7,0.7857142857142857,0.21428571428571427,1,1
0,0.6,0.75,190.0,455,103,159,0,68,False,-1,none,0.3,0.8,0.73,0.53,0.76,0.55,0.5285714285714286,1.0,0.0,42,83,0.8,0.8260869565217391,0.17391304347826086,8,20,0.7,0.6,0.4,2,4
0,0.7,0.85,184.59999999999997,445,97,167,0,86,True,1,Slow,0.3,0.77,0.86,0.58,0.77,0.51,0.7,1.0,0.0,51,94,0.65,0.8235294117647058,0.17647058823529413,6,12,0.8,0.7368421052631579,0.2631578947368421,0,4
0,0.68,0.82,208.0,448,105,169,0,69,False,-1,none,0.3,0.81,0.83,0.54,0.77,0.61,0.5857142857142857,1.0,0.0,43,95,0.9,0.8,0.2,7,18,0.9,0.625,0.375,3,3
0,0.56,0.65,158.0,465,108,145,0,72,False,-1,none,0.3,0.72,0.77,0.48,0.72,0.49,0.5142857142857142,1.0,0.0,32,88,0.65,0.7222222222222222,0.2777777777777778,12,12,0.7,0.8181818181818182,0.18181818181818182,0,1
0,0.56,0.7,163.4,460,135,138,0,67,True,3,Shigh,0.3,0.78,0.78,0.61,0.68,0.58,0.4857142857142857,1.0,0.0,38,90,0.65,0.7619047619047619,0.23809523809523808,2,7,0.9,0.7333333333333333,0.26666666666666666,0,1
0,0.71,0.89,210.0,441,105,167,0,89,False,-1,none,0.3,0.87,0.87,0.57,0.8,0.5,0.6857142857142857,1.0,0.0,55,97,0.75,0.8846153846153846,0.11538461538461539,5,8,0.8,0.6666666666666666,0.3333333333333333,0,2
0,0.67,0.75,166.0,455,106,181,0,73,False,-1,none,0.3,0.81,0.81,0.56,0.82,0.62,0.6714285714285714,1.0,0.0,55,106,0.7,0.8235294117647058,0.17647058823529413,5,14,0.6,0.9090909090909091,0.09090909090909091,1,0
0,0.68,0.83,202.0,447,95,166,0,71,False,-1,none,0.3,0.79,0.78,0.58,0.76,0.53,0.6571428571428571,1.0,0.0,53,91,0.7,0.7894736842105263,0.21052631578947367,6,12,0.8,0.7222222222222222,0.2777777777777778,0,4
0,0.68,0.76,196.0,454,109,151,0,84,False,-1,none,0.3,0.78,0.81,0.54,0.78,0.45,0.6428571428571429,1.0,0.0,45,83,0.75,0.6666666666666666,0.3333333333333333,9,11,0.8,0.6153846153846154,0.38461538461538464,1,2
0,0.63,0.74,184.0,456,111,153,0,82,False,-1,none,0.3,0.78,0.76,0.53,0.72,0.59,0.5714285714285714,1.0,0.0,38,89,0.7,0.7894736842105263,0.21052631578947367,11,12,0.9,0.6666666666666666,0.3333333333333333,0,3
0,0.57,0.68,156.0,462,127,150,0,80,False,-1,none,0.3,0.79,0.82,0.55,0.77,0.52,0.5428571428571428,1.0,0.0,39,94,0.6,0.8125,0.1875,5,9,0.7,0.8571428571428571,0.14285714285714285,1,2
0,0.64,0.78,196.0,452,125,147,0,65,False,-1,none,0.3,0.78,0.8,0.6,0.75,0.57,0.6285714285714286,1.0,0.0,38,94,0.6,0.6470588235294118,0.35294117647058826,7,6,0.8,0.7647058823529411,0.23529411764705882,0,2
0,0.65,0.75,186.0,455,86,159,0,65,False,-1,none,0.3,0.7,0.74,0.55,0.72,0.49,0.5857142857142857,1.0,0.0,51,82,0.8,0.7368421052631579,0.2631578947368421,8,15,0.8,0.7333333333333333,0.26666666666666666,0,3
0,0.69,0.8,195.8,450,118,169,0,68,True,4,Shigh,0.3,0.81,0.83,0.64,0.83,0.56,0.6285714285714286,1.0,0.0,53,96,0.85,0.6363636363636364,0.36363636363636365,6,10,0.8,0.6428571428571429,0.35714285714285715,0,4
0,0.63,0.74,164.0,456,99,166,0,66,False,-1,none,0.3,0.75,0.77,0.59,0.73,0.55,0.6285714285714286,1.0,0.0,52,95,0.65,0.8947368421052632,0.10526315789473684,3,13,0.6,0.8181818181818182,0.18181818181818182,0,3
0,0.64,0.79,194.60000000000002,451,109,148,0,69,True,3,Shigh,0.3,0.8,0.78,0.5,0.73,0.55,0.5857142857142857,1.0,0.0,38,90,0.75,0.6521739130434783,0.34782608695652173,10,6,0.8,0.5333333333333333,0.4666666666666667,0,4
