seed,seller_id,seller_class,n_sold,revenue,inventory_remaining,position_score,visibility_prob,visibility_rate
0,0,Slow,20,40.0,110,0.9,0.95,0.77
0,1,Slow,32,64.0,98,0.9,0.95,0.81
0,2,Slow,17,34.0,113,0.3,0.65,0.52
0,3,Shigh,7,42.0,63,0.8,0.9,0.73
0,4,Shigh,4,24.0,66,0.3,0.65,0.55
0,0,Slow,32,64.0,98,0.9,0.95,0.81
0,1,Slow,24,48.0,106,0.9,0.95,0.8
0,2,Slow,15,30.0,115,0.3,0.65,0.56
0,3,Shigh,0,0.0,70,0.8,0.9,0.78
0,4,Shigh,3,18.0,67,0.3,0.65,0.55
0,0,Slow,25,50.0,105,0.9,0.95,0.85
0,1,Slow,29,58.0,101,0.9,0.95,0.81
0,2,Slow,19,38.0,111,0.3,0.65,0.58
0,3,Shigh,6,36.0,64,0.8,0.9,0.78
0,4,Shigh,0,0.0,70,0.3,0.65,0.47
0,0,Slow,22,44.0,108,0.9,0.95,0.8
0,1,Slow,23,46.0,107,0.9,0.95,0.73
0,2,Slow,20,40.0,110,0.3,0.65,0.53
0,3,Shigh,4,24.0,66,0.8,0.9,0.76
0,4,Shigh,6,36.0,64,0.3,0.65,0.55
0,0,Slow,30,60.0,100,0.9,0.95,0.77
0,1,Slow,29,40.59999999999998,101,0.9,0.95,0.86
0,2,Slow,18,36.0,112,0.3,0.65,0.58
0,3,Shigh,3,18.0,67,0.8,0.9,0.77
0,4,Shigh,5,30.0,65,0.3,0.65,0.51
0,0,Slow,31,62.0,99,0.9,0.95,0.81
0,1,Slow,23,46.0,107,0.9,0.95,0.83
0,2,Slow,17,34.0,113,0.3,0.65,0.54
0,3,Shigh,7,42.0,63,0.8,0.9,0.77
0,4,Shigh,4,24.0,66,0.3,0.65,0.61
0,0,Slow,24,48.0,106,0.9,0.95,0.72
0,1,Slow,22,44.0,108,0.9,0.95,0.77
0,2,Slow,12,24.0,118,0.3,0.65,0.48
0,3,Shigh,4,24.0,66,0.8,0.9,0.72
0,4,Shigh,3,18.0,67,0.3,0.65,0.49
0,0,Slow,21,42.0,109,0.9,0.95,0.78
0,1,Slow,22,44.0,108,0.9,0.95,0.78
0,2,Slow,18,36.0,112,0.3,0.65,0.61
0,3,Shigh,7,29.399999999999995,63,0.8,0.9,0.68
0,4,Shigh,2,12.0,68,0.3,0.65,0.58
0,0,Slow,36,72.0,94,0.9,0.95,0.87
0,1,Slow,23,46.0,107,0.9,0.95,0.87
0,2,Slow,22,44.0,108,0.3,0.65,0.57
0,3,Shigh,7,42.0,63,0.8,0.9,0.8
0,4,Shigh,1,6.0,69,0.3,0.65,0.5
0,0,Slow,29,58.0,101,0.9,0.95,0.81
0,1,Slow,25,50.0,105,0.9,0.95,0.81
0,2,Slow,17,34.0,113,0.3,0.65,0.56
0,3,Shigh,2,12.0,68,0.8,0.9,0.82
0,4,Shigh,2,12.0,68,0.3,0.65,0.62
0,0,Slow,23,46.0,107,0.9,0.95,0.79
0,1,Slow,30,60.0,100,0.9,0.95,0.78
0,2,Slow,21,42.0,109,0.3,0.65,0.58
0,3,Shigh,7,42.0,63,0.8,0.9,0.76
0,4,Shigh,2,12.0,68,0.3,0.65,0.53
0,0,Slow,30,60.0,100,0.9,0.95,0.78
0,1,Slow,23,46.0,107,0.9,0.95,0.81
0,2,Slow,12,24.0,118,0.3,0.65,0.54
0,3,Shigh,7,42.0,63,0.8,0.9,0.78
0,4,Shigh,4,24.0,66,0.3,0.65,0.45
0,0,Slow,24,48.0,106,0.9,0.95,0.78
0,1,Slow,23,46.0,107,0.9,0.95,0.76
0,2,Slow,18,36.0,112,0.3,0.65,0.53
0,3,Shigh,5,30.0,65,0.8,0.9,0.72
