seed,buyer_id,buyer_class,n_purchases,total_spent,budget_remaining
0,0,Poor,1,1.6,1.2555682510599318
0,1,Poor,0,0.0,2.8802708223662408
0,2,Poor,0,0.0,3.135343130364019
0,3,Poor,1,1.6,1.6738648916286123
0,4,Poor,1,1.6,1.6927620011803102
0,5,Poor,1,1.6,1.3146614930741416
0,6,Poor,0,0.0,2.876395471873083
0,7,Poor,0,0.0,2.8877816124740407
0,8,Poor,0,0.0,2.825432787799515
0,9,Poor,0,0.0,3.5291456301569264
0,10,Poor,0,0.0,3.222214128502703
0,11,Poor,1,1.6,1.5186264915375722
0,12,Poor,0,0.0,3.0902764356859835
0,13,Poor,0,0.0,3.4917974768877826
0,14,Poor,1,1.6,1.070951459663922
0,15,Poor,0,0.0,2.927196380668636
0,16,Poor,1,1.6,1.2217959463502317
0,17,Poor,1,1.6,1.550836988467887
0,18,Poor,1,1.6,1.091883699245244
0,19,Poor,1,1.6,1.3619399760432134
0,20,Poor,1,1.6,0.7195018956372472
0,21,Poor,1,1.6,1.717906580814676
0,22,Poor,1,1.6,1.4772697019633667
0,23,Poor,1,1.6,0.9248527614826458
0,24,Poor,1,1.6,1.448700345606631
0,25,Poor,1,1.6,1.5360631833220806
0,26,Poor,0,0.0,2.583238033448567
0,27,Poor,0,0.0,2.99110150084376
0,28,Poor,0,0.0,2.945725289242497
0,29,Poor,1,1.6,0.6967816448769901
0,30,Poor,0,0.0,4.151558442737377
0,31,Poor,0,0.0,2.8259551293946994
0,32,Poor,1,1.6,1.1506756402407485
0,33,Poor,0,0.0,3.727962172360225
0,34,Poor,1,1.6,1.4202242280934372
0,35,Poor,1,1.6,0.9476404157065832
0,36,Poor,1,1.6,1.4313585691734043
0,37,Poor,1,1.6,1.396700565652933
0,38,Poor,1,1.6,1.6806195408253046
0,39,Poor,1,1.6,1.3817828486905133
0,40,Poor,0,0.0,2.5855794918528785
0,41,Poor,1,1.6,1.5984371830202093
0,42,Poor,1,1.6,1.380864513000685
0,43,Poor,1,1.6,0.8404225358186248
0,44,Poor,1,1.6,1.1833476596555577
0,45,Poor,1,1.6,1.0446016361212922
0,46,Poor,1,1.6,1.1675925008572134
0,47,Poor,1,1.6,1.7621229311231486
0,48,Poor,1,1.6,1.253361227293897
0,49,Poor,0,0.0,2.9158116481038663
0,50,Poor,0,0.0,2.8770059373262846
0,51,Poor,1,1.6,1.2319640032881596
0,52,Poor,1,1.6,1.0868263484867438
0,53,Poor,1,1.6,1.4489769234015881
0,54,Poor,1,1.6,1.8771189039498655
0,55,Poor,1,1.6,1.487056009279757
0,56,Poor,0,0.0,2.669509462437027
0,57,Poor,1,1.6,1.6894532647191522
0,58,Poor,1,1.6,1.5154544072933387
0,59,Poor,0,0.0,3.135011780463794
0,60,Poor,1,1.6,2.179076923370882
0,61,Poor,0,0.0,2.977628761891342
0,62,Poor,1,1.6,2.095628869684469
0,63,Poor,1,1.6,1.009498604511467
0,64,Poor,0,0.0,3.3626652189762822
0,65,Poor,1,1.6,1.6938196637690992
0,66,Poor,0,0.0,2.9247780159935703
0,67,Poor,0,0.0,2.8454711927029797
0,68,Poor,2,3.2,0.044406492229935424
0,69,Poor,0,0.0,2.801193586861744
0,70,Middle,1,1.6,5.49889698464928
