seed,seller_id,seller_class,n_sold,revenue,inventory_remaining,position_score,visibility_prob,visibility_rate
0,0,Slow,22,35.20000000000001,108,0.9,0.95,0.77
0,1,Slow,34,54.40000000000003,96,0.9,0.95,0.81
0,2,Slow,19,30.40000000000001,111,0.3,0.65,0.52
0,3,Shigh,7,33.60000000000001,63,0.8,0.9,0.73
0,4,Shigh,7,33.60000000000001,63,0.3,0.65,0.55
0,0,Slow,34,61.19999999999996,96,0.9,0.95,0.81
0,1,Slow,28,50.39999999999998,102,0.9,0.95,0.8
0,2,Slow,13,23.400000000000006,117,0.3,0.65,0.56
0,3,Shigh,2,10.8,68,0.8,0.9,0.78
0,4,Shigh,3,16.200000000000003,67,0.3,0.65,0.55
0,0,Slow,29,58.0,101,0.9,0.95,0.85
0,1,Slow,31,62.0,99,0.9,0.95,0.81
0,2,Slow,18,36.0,112,0.3,0.65,0.58
0,3,Shigh,6,36.0,64,0.8,0.9,0.78
0,4,Shigh,1,6.0,69,0.3,0.65,0.47
0,0,Slow,20,44.00000000000001,110,0.9,0.95,0.8
0,1,Slow,26,57.200000000000024,104,0.9,0.95,0.73
0,2,Slow,19,41.800000000000004,111,0.3,0.65,0.53
0,3,Shigh,4,26.400000000000002,66,0.8,0.9,0.76
0,4,Shigh,6,39.6,64,0.3,0.65,0.55
0,0,Slow,33,79.20000000000002,97,0.9,0.95,0.77
0,1,Slow,32,53.76,98,0.9,0.95,0.86
0,2,Slow,19,45.59999999999999,111,0.3,0.65,0.58
0,3,Shigh,3,21.599999999999998,67,0.8,0.9,0.77
0,4,Shigh,1,7.199999999999999,69,0.3,0.65,0.51
0,0,Slow,33,79.20000000000002,97,0.9,0.95,0.81
0,1,Slow,23,50.600000000000016,107,0.9,0.95,0.83
0,2,Slow,16,38.39999999999999,114,0.3,0.65,0.54
0,3,Shigh,6,36.0,64,0.8,0.9,0.77
0,4,Shigh,4,26.400000000000002,66,0.3,0.65,0.61
0,0,Slow,27,64.79999999999998,103,0.9,0.95,0.72
0,1,Slow,29,58.0,101,0.9,0.95,0.77
0,2,Slow,12,28.799999999999994,118,0.3,0.65,0.48
0,3,Shigh,4,24.0,66,0.8,0.9,0.72
0,4,Shigh,3,19.8,67,0.3,0.65,0.49
0,0,Slow,26,62.39999999999998,104,0.9,0.95,0.78
0,1,Slow,35,70.0,95,0.9,0.95,0.78
0,2,Slow,16,35.199999999999996,114,0.3,0.65,0.61
0,3,Shigh,8,33.599999999999994,62,0.8,0.9,0.68
0,4,Shigh,1,6.6000000000000005,69,0.3,0.65,0.58
0,0,Slow,36,86.40000000000003,94,0.9,0.95,0.87
0,1,Slow,33,66.0,97,0.9,0.95,0.87
0,2,Slow,23,55.19999999999998,107,0.3,0.65,0.57
0,3,Shigh,5,33.0,65,0.8,0.9,0.8
0,4,Shigh,2,9.600000000000001,68,0.3,0.65,0.5
0,0,Slow,28,61.60000000000003,102,0.9,0.95,0.81
0,1,Slow,31,62.0,99,0.9,0.95,0.81
0,2,Slow,19,45.59999999999999,111,0.3,0.65,0.56
0,3,Shigh,1,6.6000000000000005,69,0.8,0.9,0.82
0,4,Shigh,2,13.200000000000001,68,0.3,0.65,0.62
0,0,Slow,24,57.59999999999998,106,0.9,0.95,0.79
0,1,Slow,29,58.0,101,0.9,0.95,0.78
