seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,promotion_active,promotion_seller_id,promotion_seller_class,promotion_discount,visibility_rate_seller_0,visibility_rate_seller_1,visibility_rate_seller_2,visibility_rate_seller_3,visibility_rate_seller_4,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
0,0.67,0.81,206.0,449,104,153,0,87,False,-1,none,0.3,0.77,0.81,0.52,0.73,0.55,0.6285714285714286,1.0,0.0,38,87,0.8,0.7391304347826086,0.2608695652173913,10,13,0.7,0.6428571428571429,0.35714285714285715,1,4
0,0.67,0.77,178.8,453,99,174,0,70,False,-1,none,0.3,0.81,0.8,0.56,0.78,0.55,0.7,1.0,0.0,52,100,0.6,0.8421052631578947,0.15789473684210525,2,17,0.6,0.7777777777777778,0.2222222222222222,0,3
0,0.71,0.82,203.00000000000006,448,99,168,0,81,False,-1,none,0.3,0.85,0.81,0.58,0.78,0.47,0.6857142857142857,1.0,0.0,55,87,0.8,0.8095238095238095,0.19047619047619047,7,16,0.7,0.7692307692307693,0.23076923076923078,2,1
0,0.63,0.77,207.99999999999997,453,95,165,0,68,False,-1,none,0.3,0.8,0.73,0.53,0.76,0.55,0.5714285714285714,1.0,0.0,44,83,0.8,0.8333333333333334,0.16666666666666666,8,22,0.7,0.6153846153846154,0.38461538461538464,3,5
0,0.73,0.9,218.8,440,87,172,0,86,True,1,Slow,0.3,0.77,0.86,0.58,0.77,0.51,0.7142857142857143,1.0,0.0,54,94,0.75,0.8095238095238095,0.19047619047619047,5,14,0.8,0.7368421052631579,0.2631578947368421,0,5
0,0.71,0.84,230.39999999999998,446,93,179,0,69,False,-1,none,0.3,0.81,0.83,0.54,0.77,0.61,0.6285714285714286,1.0,0.0,49,95,0.9,0.7916666666666666,0.20833333333333334,8,20,0.9,0.6875,0.3125,3,4
0,0.63,0.72,178.40000000000003,458,92,154,0,72,False,-1,none,0.3,0.72,0.77,0.48,0.72,0.49,0.6,1.0,0.0,38,88,0.7,0.7777777777777778,0.2222222222222222,12,15,0.7,0.8333333333333334,0.16666666666666666,0,1
0,0.67,0.85,216.2,445,105,153,0,67,True,3,Shigh,0.3,0.78,0.78,0.61,0.68,0.58,0.6428571428571429,1.0,0.0,46,90,0.65,0.7916666666666666,0.20833333333333334,5,10,0.9,0.6875,0.3125,2,0
0,0.78,0.94,245.60000000000002,436,83,184,0,89,False,-1,none,0.3,0.87,0.87,0.57,0.8,0.5,0.7714285714285715,1.0,0.0,66,97,0.8,0.8846153846153846,0.11538461538461539,8,8,0.8,0.6428571428571429,0.35714285714285715,3,2
0,0.71,0.81,193.6,449,84,197,0,73,False,-1,none,0.3,0.81,0.81,0.56,0.82,0.62,0.7285714285714285,1.0,0.0,64,106,0.7,0.9523809523809523,0.047619047619047616,2,21,0.6,0.8888888888888888,0.1111111111111111,2,2
0,0.7,0.83,225.99999999999997,447,83,178,0,71,False,-1,none,0.3,0.79,0.78,0.58,0.76,0.53,0.7,1.0,0.0,57,91,0.65,0.7647058823529411,0.23529411764705882,8,13,0.8,0.6470588235294118,0.35294117647058826,3,6
0,0.72,0.84,231.40000000000003,446,89,163,0,84,False,-1,none,0.3,0.78,0.81,0.54,0.78,0.45,0.7,1.0,0.0,52,83,0.75,0.8,0.2,6,14,0.8,0.6,0.4,5,3
0,0.68,0.8,201.59999999999997,450,95,163,0,82,False,-1,none,0.3,0.78,0.76,0.53,0.72,0.59,0.6285714285714286,1.0,0.0,48,89,0.75,0.9090909090909091,0.09090909090909091,6,14,0.9,0.7857142857142857,0.21428571428571427,0,6
0,0.63,0.77,206.39999999999998,453,102,166,0,80,False,-1,none,0.3,0.79,0.82,0.55,0.77,0.52,0.6142857142857143,1.0,0.0,46,94,0.65,0.7368421052631579,0.2631578947368421,8,11,0.7,0.8,0.2,3,4
0,0.69,0.83,228.0,447,96,171,0,65,False,-1,none,0.3,0.78,0.8,0.6,0.75,0.57,0.7,1.0,0.0,50,94,0.6,0.7058823529411765,0.29411764705882354,10,8,0.8,0.7058823529411765,0.29411764705882354,4,5
0,0.68,0.76,203.99999999999994,454,74,170,0,65,False,-1,none,0.3,0.7,0.74,0.55,0.72,0.49,0.6285714285714286,1.0,0.0,55,82,0.8,0.7368421052631579,0.2631578947368421,9,18,0.8,0.7692307692307693,0.23076923076923078,2,4
0,0.73,0.84,224.59999999999997,446,102,181,0,68,True,4,Shigh,0.3,0.81,0.83,0.64,0.83,0.56,0.7,1.0,0.0,61,96,0.8,0.6190476190476191,0.38095238095238093,9,10,0.8,0.6428571428571429,0.35714285714285715,1,4
0,0.66,0.75,190.79999999999995,455,85,179,0,66,False,-1,none,0.3,0.75,0.77,0.59,0.73,0.55,0.6714285714285714,1.0,0.0,58,95,0.65,0.8333333333333334,0.16666666666666666,5,15,0.6,0.8,0.2,0,6
0,0.68,0.83,221.19999999999993,447,101,152,0,69,True,3,Shigh,0.3,0.8,0.78,0.5,0.73,0.55,0.6285714285714286,1.0,0.0,39,90,0.75,0.7142857142857143,0.2857142857142857,7,11,0.9,0.5555555555555556,0.4444444444444444,2,3
0,0.67,0.8,202.95999999999998,450,100,160,0,70,True,1,Slow,0.3,0.79,0.79,0.51,0.77,0.54,0.6285714285714286,1.0,0.0,47,93,0.8,0.782608695652174,0.21739130434782608,3,15,0.7,0.6153846153846154,0.38461538461538464,1,1
0,0.65,0.72,184.2,458,94,165,0,89,False,-1,none,0.3,0.78,0.76,0.5,0.69,0.58,0.6571428571428571,1.0,0.0,47,96,0.6,0.9375,0.0625,2,15,0.7,0.6,0.4,2,3
0,0.63,0.76,205.19999999999996,454,83,165,0,71,False,-1,none,0.3,0.75,0.75,0.53,0.74,0.47,0.5857142857142857,1.0,0.0,60,83,0.75,0.8095238095238095,0.19047619047619047,6,12,0.7,0.7857142857142857,0.21428571428571427,0,4
0,0.66,0.83,221.05999999999995,447,101,167,0,84,True,1,Slow,0.3,0.84,0.79,0.53,0.82,0.53,0.5857142857142857,1.0,0.0,47,91,0.85,0.6086956521739131,0.391304347826087,11,17,0.8,0.7894736842105263,0.21052631578947367,1,0
0,0.71,0.81,212.99999999999994,449,92,185,0,77,True,4,Shigh,0.3,0.82,0.84,0.54,0.79,0.59,0.6857142857142857,1.0,0.0,63,92,0.75,0.7142857142857143,0.2857142857142857,6,16,0.8,0.75,0.25,3,5
0,0.67,0.78,196.0,452,104,157,0,81,False,-1,none,0.3,0.81,0.83,0.52,0.7,0.53,0.6285714285714286,1.0,0.0,49,90,0.75,0.9047619047619048,0.09523809523809523,3,12,0.8,0.8461538461538461,0.15384615384615385,2,1
0,0.64,0.78,180.51999999999998,452,84,159,0,84,True,0,Slow,0.3,0.76,0.75,0.5,0.73,0.47,0.6142857142857143,1.0,0.0,58,84,0.65,0.8421052631578947,0.15789473684210525,5,9,0.8,0.75,0.25,1,2
0,0.67,0.76,197.60000000000002,454,82,184,0,68,False,-1,none,0.3,0.78,0.79,0.48,0.79,0.58,0.7,1.0,0.0,54,98,0.6,0.75,0.25,11,16,0.6,0.7272727272727273,0.2727272727272727,2,3
0,0.66,0.84,226.99999999999997,446,95,153,0,83,False,-1,none,0.3,0.79,0.78,0.53,0.75,0.47,0.5714285714285714,1.0,0.0,47,84,0.8,0.8695652173913043,0.13043478260869565,9,9,1.0,0.7142857142857143,0.2857142857142857,2,2
0,0.63,0.77,198.2,453,99,158,0,81,False,-1,none,0.3,0.79,0.78,0.55,0.74,0.48,0.5857142857142857,1.0,0.0,45,88,0.8,0.875,0.125,7,13,0.6,0.8333333333333334,0.16666666666666666,2,3
0,0.73,0.9,233.4,440,83,178,0,79,False,-1,none,0.3,0.84,0.85,0.53,0.79,0.5,0.7,1.0,0.0,58,91,0.85,0.92,0.08,7,14,0.7,0.6875,0.3125,3,5
0,0.67,0.77,206.20000000000005,453,94,162,0,77,False,-1,none,0.3,0.76,0.8,0.54,0.71,0.52,0.6285714285714286,1.0,0.0,45,86,0.75,0.8,0.2,7,17,0.8,0.6153846153846154,0.38461538461538464,5,2
0,0.68,0.79,212.79999999999998,451,74,169,0,88,False,-1,none,0.3,0.77,0.75,0.5,0.74,0.46,0.6714285714285714,1.0,0.0,55,87,0.75,0.8181818181818182,0.18181818181818182,6,15,0.6,0.6,0.4,1,5
0,0.63,0.77,225.99999999999994,453,88,187,0,68,False,-1,none,0.3,0.83,0.83,0.53,0.78,0.55,0.5428571428571428,1.0,0.0,56,91,0.9,0.6956521739130435,0.30434782608695654,16,20,0.7,0.625,0.375,2,2
0,0.62,0.69,188.39999999999998,461,98,164,0,69,False,-1,none,0.3,0.78,0.77,0.53,0.72,0.51,0.6285714285714286,1.0,0.0,45,90,0.75,0.7142857142857143,0.2857142857142857,9,17,0.3,0.5,0.5,2,1
0,0.73,0.92,254.40000000000003,438,91,188,0,74,False,-1,none,0.3,0.86,0.83,0.6,0.81,0.61,0.6571428571428571,1.0,0.0,53,97,0.9,0.8518518518518519,0.14814814814814814,10,20,0.9,0.631578947368421,0.3684210526315789,4,4
0,0.71,0.8,209.2,450,100,176,0,69,False,-1,none,0.3,0.8,0.82,0.58,0.76,0.6,0.6857142857142857,1.0,0.0,49,99,0.75,0.8947368421052632,0.10526315789473684,6,17,0.8,0.7692307692307693,0.23076923076923078,2,3
0,0.7,0.84,213.59999999999997,446,97,170,0,69,True,2,Slow,0.3,0.8,0.78,0.61,0.75,0.57,0.6857142857142857,1.0,0.0,50,93,0.8,0.8181818181818182,0.18181818181818182,11,10,0.6,0.5714285714285714,0.42857142857142855,3,3
0,0.58,0.71,186.94,459,83,144,0,67,True,4,Shigh,0.3,0.66,0.72,0.49,0.65,0.46,0.5857142857142857,1.0,0.0,38,82,0.55,0.7647058823529411,0.23529411764705882,7,13,0.6,0.7692307692307693,0.23076923076923078,0,4
0,0.77,0.89,230.00000000000003,441,89,174,0,93,False,-1,none,0.3,0.8,0.88,0.49,0.81,0.54,0.7571428571428571,1.0,0.0,50,94,0.8,0.8181818181818182,0.18181818181818182,8,19,0.8,0.7857142857142857,0.21428571428571427,2,1
0,0.75,0.91,216.0800000000001,439,115,181,0,73,True,3,Shigh,0.3,0.87,0.91,0.59,0.85,0.65,0.7142857142857143,1.0,0.0,50,114,0.75,0.8333333333333334,0.16666666666666666,5,9,1.0,0.7647058823529411,0.23529411764705882,2,1
0,0.64,0.78,193.0,452,84,165,0,78,False,-1,none,0.3,0.75,0.74,0.47,0.76,0.55,0.6285714285714286,1.0,0.0,49,90,0.65,0.8571428571428571,0.14285714285714285,6,17,0.7,0.8461538461538461,0.15384615384615385,2,1
0,0.67,0.82,220.8,448,116,164,0,83,False,-1,none,0.3,0.81,0.88,0.58,0.81,0.54,0.6,1.0,0.0,45,97,0.85,0.75,0.25,8,13,0.8,0.8125,0.1875,0,1
0,0.71,0.89,230.20000000000002,441,79,190,0,67,False,-1,none,0.3,0.83,0.84,0.56,0.79,0.56,0.6857142857142857,1.0,0.0,64,95,0.8,0.8846153846153846,0.11538461538461539,8,18,0.7,0.8,0.2,2,3
0,0.71,0.89,229.00000000000006,441,91,164,0,86,False,-1,none,0.3,0.84,0.82,0.54,0.74,0.5,0.6714285714285714,1.0,0.0,58,84,0.85,0.9259259259259259,0.07407407407407407,3,16,0.7,0.6,0.4,2,1
0,0.73,0.82,232.79999999999998,448,84,180,0,74,False,-1,none,0.3,0.82,0.79,0.51,0.77,0.57,0.7,1.0,0.0,57,94,0.9,0.6363636363636364,0.36363636363636365,11,13,0.6,0.5454545454545454,0.45454545454545453,1,4
0,0.66,0.76,192.2,454,97,169,0,68,False,-1,none,0.3,0.78,0.8,0.55,0.72,0.57,0.6714285714285714,1.0,0.0,52,92,0.65,0.8823529411764706,0.11764705882352941,3,17,0.6,0.8333333333333334,0.16666666666666666,1,4
0,0.71,0.81,223.40000000000003,449,90,186,0,68,False,-1,none,0.3,0.81,0.82,0.62,0.75,0.57,0.6857142857142857,1.0,0.0,62,95,0.65,0.6875,0.3125,11,12,1.0,0.5882352941176471,0.4117647058823529,3,3
0,0.69,0.77,205.60000000000002,453,107,182,0,74,False,-1,none,0.3,0.83,0.83,0.59,0.81,0.6,0.6714285714285714,1.0,0.0,48,103,0.75,0.8421052631578947,0.15789473684210525,10,18,0.7,0.6363636363636364,0.36363636363636365,0,3
