week,counter (7a-7d) median,"delta=0, L*=1 median","delta=0.25, L*=1 median","delta=0.5, L*=1 median","delta=1, L*=1 median","delta=0, L*=1.25 median","delta=0.25, L*=1.25 median","delta=0.5, L*=1.25 median","delta=1, L*=1.25 median",counter (7a-7d) IQR,"delta=0, L*=1 IQR","delta=0.25, L*=1 IQR","delta=0.5, L*=1 IQR","delta=1, L*=1 IQR","delta=0, L*=1.25 IQR","delta=0.25, L*=1.25 IQR","delta=0.5, L*=1.25 IQR","delta=1, L*=1.25 IQR"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.36737799644470215,0.36737799644470215,0.36737799644470215,0.36737799644470215,0.29606297612190247,0.29606297612190247,0.29606297612190247,0.29606297612190247
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.36737799644470215,0.36737799644470215,0.36737799644470215,0.36737799644470215,0.29606297612190247,0.29606297612190247,0.29606297612190247,0.29606297612190247
3,0.0,0.23797275125980377,0.23797275125980377,0.23797275125980377,0.23797275125980377,0.19095824658870697,0.19095824658870697,0.19095824658870697,0.19095824658870697,0.5,0.36737799644470215,0.36737799644470215,0.36737799644470215,0.36737799644470215,0.29606297612190247,0.29606297612190247,0.29606297612190247,0.29606297612190247
4,0.0,0.29606297612190247,0.29606297612190247,0.29606297612190247,0.29606297612190247,0.19095824658870697,0.23797275125980377,0.23797275125980377,0.23797275125980377,0.5,0.4750838279724121,0.5178210735321045,0.5178210735321045,0.5178210735321045,0.3848084509372711,0.40240678191185,0.4204394519329071,0.4204394519329071
5,0.0,0.33961182832717896,0.33961182832717896,0.33961182832717896,0.33961182832717896,0.23797275125980377,0.23797275125980377,0.23797275125980377,0.2556818500161171,0.5,0.5237292945384979,0.5414539575576782,0.5414539575576782,0.5575575232505798,0.4204394519329071,0.4204394519329071,0.4402610957622528,0.4402610957622528
6,0.0,0.3559626638889313,0.3559626638889313,0.36737799644470215,0.36737799644470215,0.2733909487724304,0.286732941865921,0.286732941865921,0.286732941865921,0.5,0.42954178154468536,0.4296436458826065,0.4554179459810257,0.46978659927845,0.35565583407878876,0.3768339306116104,0.37692032754421234,0.37438708543777466
7,0.0,0.38919931650161743,0.4030414819717407,0.4120217263698578,0.4120217263698578,0.3103348910808563,0.3103348910808563,0.31393513083457947,0.31393513083457947,0.5,0.42787088453769684,0.433898463845253,0.44189025461673737,0.4540702849626541,0.37438708543777466,0.37953805923461914,0.3720208406448364,0.36475570499897003
8,0.0,0.3961203992366791,0.4120217263698578,0.41328176856040955,0.4204394519329071,0.3103348910808563,0.3103348910808563,0.31393513083457947,0.32816630601882935,0.5,0.44189025461673737,0.45629508793354034,0.4691496640443802,0.5017973929643631,0.360037162899971,0.3724121004343033,0.3766820579767227,0.3914709836244583
9,0.0,0.42588329315185547,0.4313836693763733,0.4402610957622528,0.4454044699668884,0.3337189853191376,0.33961182832717896,0.33961182832717896,0.34409770369529724,0.5,0.47527898848056793,0.48798318207263947,0.49257834255695343,0.5050794631242752,0.37776346504688263,0.38655006885528564,0.39193294942379,0.4044921547174454
10,0.0,0.4402610957622528,0.44718143343925476,0.4538193345069885,0.4607548713684082,0.34409770369529724,0.34834299981594086,0.35597898066043854,0.3671749532222748,0.5,0.4446805566549301,0.45793840289115906,0.46734490990638733,0.4918331690132618,0.3547818511724472,0.3730366677045822,0.38547591865062714,0.39512331783771515
11,0.0,0.47150924801826477,0.48036739230155945,0.49301156401634216,0.503763735294342,0.35816219449043274,0.36956651508808136,0.3774696886539459,0.3862021267414093,0.5,0.45983533561229706,0.4724790006875992,0.49081574380397797,0.511005088686943,0.38548777997493744,0.3874039351940155,0.40022748708724976,0.42204898595809937
12,0.0,0.4650269150733948,0.4750838279724121,0.48036739230155945,0.49706217646598816,0.36168384552001953,0.37037578225135803,0.3754609227180481,0.3848084509372711,0.5,0.480777844786644,0.49224428832530975,0.500620886683464,0.5224312543869019,0.3888044022023678,0.3991991691291332,0.4000668525695801,0.42379340529441833
13,0.0,0.48716798424720764,0.4969053268432617,0.5035724639892578,0.5198737382888794,0.38215264678001404,0.3855052888393402,0.3911672532558441,0.40188339352607727,0.5,0.4755764305591583,0.48513782024383545,0.48791735619306564,0.5049808621406555,0.38777727261185646,0.3945087641477585,0.4058612398803234,0.41927823424339294
14,0.0,0.47695231437683105,0.48583003878593445,0.49654437601566315,0.5089792907238007,0.37353575229644775,0.380231648683548,0.3862224966287613,0.39699146151542664,0.5,0.48769405484199524,0.49043048918247223,0.4927099011838436,0.5136062353849411,0.3930039182305336,0.394841268658638,0.4037569910287857,0.4200746715068817
15,0.0,0.497389554977417,0.5064485669136047,0.5109764933586121,0.5236921310424805,0.38832947611808777,0.3928059935569763,0.39720015227794647,0.4070439338684082,0.5,0.4611817076802254,0.4690867066383362,0.47948211431503296,0.49240921437740326,0.37514110654592514,0.38296879827976227,0.3885573670268059,0.40744607150554657
16,0.0,0.49459241330623627,0.5020112991333008,0.5090298056602478,0.5224364399909973,0.38585174083709717,0.3901180624961853,0.4000226557254791,0.4063703119754791,0.5,0.4871477037668228,0.49139202386140823,0.4932103753089905,0.5054498463869095,0.4013185650110245,0.4007497727870941,0.40838031470775604,0.4180042892694473
