cell,lag,excess_repeat_rate
counter (7a-7d),1,0.1135948303379992
counter (7a-7d),2,0.07731159850260426
counter (7a-7d),4,0.040035080916462434
counter (7a-7d),8,0.01891890548165142
counter (7a-7d),12,0.01692044324386186
counter (7a-7d),16,0.013194047481116578
rho=0.8,1,0.08646655195198828
rho=0.8,2,0.07822849742528869
rho=0.8,4,0.07340268666147146
rho=0.8,8,0.05350117101254782
rho=0.8,12,0.045302054756807125
rho=0.8,16,0.03385780680480647
rho=0.85,1,0.07215118664759901
rho=0.85,2,0.06712344933002345
rho=0.85,4,0.06545096591050023
rho=0.85,8,0.050063297717252486
rho=0.85,12,0.046373843204608696
rho=0.85,16,0.036892361192766995
rho=0.9,1,0.056649464494282015
rho=0.9,2,0.051966603636612
rho=0.9,4,0.05229971610535067
rho=0.9,8,0.04208224978421827
rho=0.9,12,0.04316901517999891
rho=0.9,16,0.033048284791877845
rho=0.95,1,0.04357868356756204
rho=0.95,2,0.04025375890580309
rho=0.95,4,0.04206287171114987
rho=0.95,8,0.035723267361474575
rho=0.95,12,0.037607854376542266
rho=0.95,16,0.03047526157405335
