seed,7e-2 schedule,flat at the oracle price,LinUCB blind,Q-network (7e-3b)
0,44.51386363636367,43.62840909090912,43.31727272727276,42.96818181818185
1,45.13196969696974,43.775000000000034,44.16750000000004,42.90000000000003
2,45.275757575757616,44.65272727272731,40.56765909090911,44.014962121212164
3,44.035151515151554,43.33727272727276,40.08053030303032,43.155151515151545
4,43.06733333333336,42.276590909090935,41.13416666666669,41.84858333333335
5,44.84171212121216,44.11204545454549,43.70068939393943,42.87386363636367
6,48.68958333333339,48.758181818181875,44.10485606060608,47.451090909090965
7,40.6187878787879,38.2284090909091,41.79416666666668,36.102575757575764
8,46.45196969696973,45.319090909090946,38.9403787878788,44.45484848484852
9,42.063560606060626,40.089772727272745,39.44121212121213,40.95015151515153
10,43.13083333333336,42.75250000000002,41.20598484848487,40.73077272727274
11,46.225962121212156,44.83181818181822,44.35667424242427,43.85954545454549
12,43.71295454545458,41.17954545454548,45.40713636363639,40.00016666666669
13,44.53621212121215,41.87159090909093,44.042704545454576,42.48363636363639
14,41.772500000000015,40.600000000000016,39.215681818181835,40.08492424242426
15,42.01862878787881,40.25954545454547,35.984378787878796,40.14227272727275
16,47.78950757575762,46.76886363636368,45.65036363636367,44.991545454545495
17,45.40015151515155,43.6552272727273,39.65721969696972,44.31132575757579
18,45.71651515151519,44.096590909090935,43.590530303030334,44.0788863636364
19,43.60825757575761,43.38704545454549,35.640643939393954,42.63750757575761
20,47.09030303030307,46.97659090909095,45.2975757575758,43.97886363636366
21,41.87405303030306,40.870000000000026,40.12593181818184,41.24007575757578
22,44.78774242424247,43.67477272727276,41.71207575757578,42.46359090909095
23,44.58924242424246,44.135000000000026,43.36583333333336,42.47335606060608
24,43.8974166666667,41.7502272727273,34.83499242424242,41.577954545454574
25,42.37658333333336,41.59704545454548,42.57318181818184,40.32443939393941
26,48.85977272727278,47.281818181818224,43.407916666666694,44.70931818181822
27,41.395598484848506,40.45204545454548,36.82283333333334,38.213863636363655
28,42.32362121212124,41.435227272727296,38.9121590909091,41.10636363636366
29,43.68139393939398,43.6836363636364,42.17514393939397,42.11525000000003
