week,q_network_mean_price,schedule_price
0,2.119999999999999,2.385
1,2.119999999999999,2.385
2,2.2259999999999995,2.385
3,2.438,2.385
4,2.3849999999999993,2.385
5,2.544,2.385
6,2.614666666666667,2.385
7,2.5881666666666674,2.385
8,2.6411666666666673,2.385
9,2.5705000000000005,2.385
10,2.6235000000000004,2.385
11,2.632333333333334,2.385
12,2.6765000000000003,2.385
13,2.6235000000000004,2.385
14,2.6676666666666673,2.385
15,2.6411666666666673,2.385
16,2.7030000000000007,2.65
17,2.614666666666667,2.65
18,2.667666666666667,2.65
19,2.6676666666666673,2.65
20,2.6235000000000004,2.65
21,2.632333333333334,2.65
22,2.658833333333334,2.65
23,2.6500000000000004,2.65
24,2.605833333333334,2.65
25,2.685333333333334,2.65
26,2.6411666666666673,2.65
27,2.6411666666666673,2.65
28,2.6411666666666673,2.65
29,2.685333333333334,2.65
30,2.632333333333334,2.65
31,2.658833333333334,2.65
32,2.6411666666666673,2.65
33,2.6676666666666673,2.65
34,2.6500000000000004,2.65
35,2.658833333333334,2.65
36,2.6235000000000004,2.65
37,2.6941666666666673,2.65
38,2.588166666666667,2.65
39,2.6765000000000003,2.65
40,2.605833333333334,2.65
41,2.658833333333334,2.65
42,2.588166666666667,2.65
43,2.658833333333334,2.65
44,2.6235000000000004,2.65
45,2.632333333333334,2.65
46,2.597,2.65
47,2.6765000000000003,2.65
48,2.605833333333334,2.65
49,2.6500000000000004,2.65
50,2.614666666666667,2.65
51,2.658833333333334,2.65
52,2.6411666666666673,2.65
53,2.658833333333334,2.65
54,2.605833333333334,2.65
55,2.65,2.65
56,2.605833333333334,2.65
57,2.614666666666667,2.65
58,2.6411666666666673,2.65
59,2.614666666666667,2.65
60,2.6500000000000004,2.65
61,2.6235000000000004,2.65
62,2.6411666666666673,2.65
63,2.632333333333334,2.65
64,2.6676666666666673,2.65
65,2.5793333333333335,2.65
