cell,week,seed,active
"capital, F=6",0,0,5
"capital, F=6",1,0,5
"capital, F=6",2,0,6
"capital, F=6",3,0,6
"capital, F=6",4,0,7
"capital, F=6",5,0,7
"capital, F=6",6,0,8
"capital, F=6",7,0,8
"capital, F=6",8,0,9
"capital, F=6",9,0,9
"capital, F=6",10,0,10
"capital, F=6",11,0,10
"capital, F=6",12,0,11
"capital, F=6",13,0,11
"capital, F=6",14,0,12
"capital, F=6",15,0,11
"capital, F=6",16,0,12
"capital, F=6",17,0,12
"capital, F=6",18,0,13
"capital, F=6",19,0,13
"capital, F=6",20,0,14
"capital, F=6",21,0,14
"capital, F=6",22,0,15
"capital, F=6",23,0,15
"capital, F=6",24,0,16
"capital, F=6",25,0,16
"capital, F=6",26,0,17
"capital, F=6",27,0,17
"capital, F=6",28,0,17
"capital, F=6",29,0,17
"capital, F=6",30,0,17
"capital, F=6",31,0,17
"capital, F=6",32,0,18
"capital, F=6",33,0,18
"capital, F=6",34,0,19
"capital, F=6",35,0,19
"capital, F=6",36,0,20
"capital, F=6",37,0,20
"capital, F=6",38,0,20
"capital, F=6",39,0,19
"capital, F=6",40,0,20
"capital, F=6",41,0,19
"capital, F=6",42,0,20
"capital, F=6",43,0,20
"capital, F=6",44,0,21
"capital, F=6",45,0,21
"capital, F=6",46,0,22
"capital, F=6",47,0,22
"capital, F=6",48,0,23
"capital, F=6",49,0,23
"capital, F=6",50,0,24
"capital, F=6",51,0,24
"capital, F=6",52,0,25
"capital, F=6",53,0,25
"capital, F=6",54,0,25
"capital, F=6",55,0,24
"capital, F=6",56,0,22
"capital, F=6",57,0,22
"capital, F=6",58,0,23
"capital, F=6",59,0,23
"capital, F=6",60,0,24
"capital, F=6",61,0,24
"capital, F=6",62,0,25
"capital, F=6",63,0,25
"capital, F=6",64,0,26
"capital, F=6",65,0,26
"capital, F=6",66,0,26
"capital, F=6",67,0,26
"capital, F=6",68,0,26
"capital, F=6",69,0,26
"capital, F=6",70,0,25
"capital, F=6",71,0,25
"capital, F=6",72,0,25
"capital, F=6",73,0,25
"capital, F=6",74,0,25
"capital, F=6",75,0,25
"capital, F=6",76,0,26
"capital, F=6",77,0,26
"capital, F=6",78,0,26
"capital, F=6",79,0,26
"capital, F=6",80,0,26
"capital, F=6",81,0,26
"capital, F=6",82,0,26
"capital, F=6",83,0,26
"capital, F=6",84,0,26
"capital, F=6",85,0,26
"capital, F=6",86,0,26
"capital, F=6",87,0,26
"capital, F=6",88,0,26
"capital, F=6",89,0,27
"capital, F=6",90,0,27
"capital, F=6",91,0,27
"capital, F=6",92,0,27
"capital, F=6",93,0,27
"capital, F=6",94,0,27
"capital, F=6",95,0,27
"capital, F=6",96,0,27
"capital, F=6",97,0,27
"capital, F=6",98,0,27
"capital, F=6",99,0,27
"capital, F=6",100,0,27
"capital, F=6",101,0,26
"capital, F=6",102,0,25
"capital, F=6",103,0,25
"capital, F=6",104,0,25
"capital, F=6",105,0,25
"capital, F=6",106,0,25
"capital, F=6",107,0,25
"capital, F=6",108,0,25
"capital, F=6",109,0,25
"capital, F=6",0,1,5
"capital, F=6",1,1,5
"capital, F=6",2,1,6
"capital, F=6",3,1,6
"capital, F=6",4,1,7
"capital, F=6",5,1,7
"capital, F=6",6,1,8
"capital, F=6",7,1,8
"capital, F=6",8,1,9
"capital, F=6",9,1,9
"capital, F=6",10,1,10
"capital, F=6",11,1,10
"capital, F=6",12,1,11
"capital, F=6",13,1,11
"capital, F=6",14,1,12
"capital, F=6",15,1,12
"capital, F=6",16,1,13
"capital, F=6",17,1,13
"capital, F=6",18,1,14
"capital, F=6",19,1,14
"capital, F=6",20,1,15
"capital, F=6",21,1,15
"capital, F=6",22,1,16
"capital, F=6",23,1,16
"capital, F=6",24,1,17
"capital, F=6",25,1,17
"capital, F=6",26,1,18
"capital, F=6",27,1,18
"capital, F=6",28,1,19
"capital, F=6",29,1,19
"capital, F=6",30,1,20
"capital, F=6",31,1,20
"capital, F=6",32,1,21
"capital, F=6",33,1,21
"capital, F=6",34,1,21
"capital, F=6",35,1,21
"capital, F=6",36,1,22
"capital, F=6",37,1,21
"capital, F=6",38,1,22
"capital, F=6",39,1,22
"capital, F=6",40,1,23
"capital, F=6",41,1,23
"capital, F=6",42,1,24
"capital, F=6",43,1,23
"capital, F=6",44,1,22
"capital, F=6",45,1,22
"capital, F=6",46,1,20
"capital, F=6",47,1,21
"capital, F=6",48,1,21
"capital, F=6",49,1,22
"capital, F=6",50,1,22
"capital, F=6",51,1,23
"capital, F=6",52,1,23
"capital, F=6",53,1,24
"capital, F=6",54,1,24
"capital, F=6",55,1,24
"capital, F=6",56,1,24
"capital, F=6",57,1,24
"capital, F=6",58,1,25
"capital, F=6",59,1,25
"capital, F=6",60,1,25
"capital, F=6",61,1,25
"capital, F=6",62,1,25
"capital, F=6",63,1,25
"capital, F=6",64,1,25
"capital, F=6",65,1,25
"capital, F=6",66,1,25
"capital, F=6",67,1,25
"capital, F=6",68,1,25
"capital, F=6",69,1,25
"capital, F=6",70,1,26
"capital, F=6",71,1,26
"capital, F=6",72,1,26
"capital, F=6",73,1,26
"capital, F=6",74,1,26
"capital, F=6",75,1,24
"capital, F=6",76,1,23
"capital, F=6",77,1,23
"capital, F=6",78,1,22
"capital, F=6",79,1,22
"capital, F=6",80,1,22
"capital, F=6",81,1,23
"capital, F=6",82,1,22
"capital, F=6",83,1,23
"capital, F=6",84,1,22
"capital, F=6",85,1,23
"capital, F=6",86,1,23
"capital, F=6",87,1,23
"capital, F=6",88,1,24
"capital, F=6",89,1,24
"capital, F=6",90,1,23
"capital, F=6",91,1,23
"capital, F=6",92,1,23
"capital, F=6",93,1,24
"capital, F=6",94,1,24
"capital, F=6",95,1,25
"capital, F=6",96,1,24
"capital, F=6",97,1,24
"capital, F=6",98,1,24
"capital, F=6",99,1,24
"capital, F=6",100,1,24
"capital, F=6",101,1,24
"capital, F=6",102,1,24
"capital, F=6",103,1,24
"capital, F=6",104,1,25
"capital, F=6",105,1,25
"capital, F=6",106,1,25
"capital, F=6",107,1,25
"capital, F=6",108,1,25
"capital, F=6",109,1,24
"capital, F=6",0,2,5
"capital, F=6",1,2,5
"capital, F=6",2,2,6
"capital, F=6",3,2,6
"capital, F=6",4,2,7
"capital, F=6",5,2,7
"capital, F=6",6,2,8
"capital, F=6",7,2,8
"capital, F=6",8,2,9
"capital, F=6",9,2,9
"capital, F=6",10,2,10
"capital, F=6",11,2,10
"capital, F=6",12,2,11
"capital, F=6",13,2,11
"capital, F=6",14,2,12
"capital, F=6",15,2,12
"capital, F=6",16,2,13
"capital, F=6",17,2,13
"capital, F=6",18,2,14
"capital, F=6",19,2,14
"capital, F=6",20,2,15
"capital, F=6",21,2,15
"capital, F=6",22,2,16
"capital, F=6",23,2,16
"capital, F=6",24,2,17
"capital, F=6",25,2,17
"capital, F=6",26,2,18
"capital, F=6",27,2,18
"capital, F=6",28,2,17
"capital, F=6",29,2,17
"capital, F=6",30,2,18
"capital, F=6",31,2,18
"capital, F=6",32,2,17
"capital, F=6",33,2,17
"capital, F=6",34,2,18
"capital, F=6",35,2,17
"capital, F=6",36,2,17
"capital, F=6",37,2,17
"capital, F=6",38,2,18
"capital, F=6",39,2,18
"capital, F=6",40,2,19
"capital, F=6",41,2,19
"capital, F=6",42,2,20
"capital, F=6",43,2,20
"capital, F=6",44,2,21
"capital, F=6",45,2,20
"capital, F=6",46,2,21
"capital, F=6",47,2,21
"capital, F=6",48,2,22
"capital, F=6",49,2,22
"capital, F=6",50,2,21
"capital, F=6",51,2,21
"capital, F=6",52,2,22
"capital, F=6",53,2,22
"capital, F=6",54,2,22
"capital, F=6",55,2,22
"capital, F=6",56,2,23
"capital, F=6",57,2,23
"capital, F=6",58,2,24
"capital, F=6",59,2,24
"capital, F=6",60,2,25
"capital, F=6",61,2,25
"capital, F=6",62,2,25
"capital, F=6",63,2,24
"capital, F=6",64,2,24
"capital, F=6",65,2,23
"capital, F=6",66,2,23
"capital, F=6",67,2,24
"capital, F=6",68,2,24
"capital, F=6",69,2,24
"capital, F=6",70,2,24
