model,hidden,depth,soft_labels,distance,log_loss,cal_buyer class,cal_seller tier,cal_loyalty streak,cal_season third,cal_spend so far
constant predictor,0,0,True,0.12339913387007798,0.6906970356440351,0.04322769435294538,0.05600495036025066,0.3052117286008249,0.01391817923458244,0.013469030260959247
16x1 soft,16,1,True,0.08373414790991557,0.6643209907429836,0.004823546764302633,0.001644892610075388,0.0021379119454204565,0.0016667613114159097,0.005889869888500265
16x1 sampled,16,1,False,0.08447626083244214,0.6650955649515697,0.0196779571159868,0.017991877498780062,0.01941650739536882,0.005182567315317688,0.033764628924726314
32x2 soft,32,2,True,0.08348135769695697,0.6642751555754922,0.005699188402207067,0.001765364832739369,0.0074163508967872716,0.0012366434426760997,0.010132512718247555
32x2 sampled,32,2,False,0.08401667736164237,0.6647677850361026,0.018091139502917353,0.011647345820029686,0.02296323295430147,0.003520158043072874,0.024748621312921937
64x2 soft,64,2,True,0.0833897368850087,0.6643167084830754,0.002605557997654273,0.001761078484083467,0.01569802371113005,0.0007063965700254693,0.008427381759332997
64x2 sampled,64,2,False,0.0842873140650903,0.664628308022644,0.020248708073435984,0.013260839437944538,0.007938111251766466,0.006042601088446897,0.024045516058370464
128x3 soft,128,3,True,0.08324510057791795,0.6643725049068643,0.002320151293436268,0.00199071955981589,0.02101108603234869,0.0019170856156661698,0.005322862471699774
128x3 sampled,128,3,False,0.084546433830497,0.6646849591628022,0.024705523159704146,0.013521601549712103,0.013518977479399452,0.007466382092323254,0.025256734069427522
256x3 soft,256,3,True,0.08327628162471257,0.6643340939378273,0.001785152761443476,0.0009810764873668387,0.017174676022505886,0.001001341638181219,0.004803030397551811
256x3 sampled,256,3,False,0.0844292752833708,0.6646247116481715,0.019543236800224018,0.012471259892712805,0.012891455527234807,0.00789630569129901,0.02124296578481427
