stratum,streak,n,mean_p,p5,p95,entropy_bits,argmax_ceiling,independent_agreement,buyer_class,seller_tier
loyalty (streak),0.0,2134.0,0.411404836212618,0.2410424007337999,0.6006610842689257,0.9392506544032146,0.6183712734501494,0.5407860637307288,,
loyalty (streak),3.0,2134.0,0.7440938554432406,0.587351393184699,0.8708190573367828,0.7908933138796786,0.7440938554432406,0.6346829090108747,,
buyer class,,1148.0,0.5799184682517489,0.26531643167367447,0.8656096588848259,0.8610306829630123,0.6840550284728278,0.5901066305907453,Middle,
buyer class,,2520.0,0.5601342340945445,0.25696030332191605,0.8365508104230313,0.8756555726737324,0.6759705143733442,0.5815411990268562,Poor,
buyer class,,600.0,0.6475825608705701,0.34915512611666394,0.8938111462207542,0.8283532685605836,0.6979328602514348,0.6092075906078805,Rich,
seller tier,,668.0,0.545694277507429,0.23047270031102987,0.8297033401208128,0.8742256050182425,0.6764051249341241,0.5823763143664838,,Shigh
seller tier,,3600.0,0.583697341838511,0.2704369926811022,0.8502550989935976,0.8633734789343078,0.6821283226673611,0.5887287249538252,,Slow
class x tier,,428.0,0.5090743858687745,0.21986406017029614,0.797020073819011,0.8848793005519224,0.6729197179044437,0.5761307434525224,Middle,Shigh
class x tier,,720.0,0.6220313394460726,0.3214432227793223,0.8758395252903338,0.8468540047296045,0.6906743519773674,0.5984145190562444,Middle,Slow
class x tier,,2520.0,0.5601342340945445,0.25696030332191605,0.8365508104230313,0.8756555726737324,0.6759705143733442,0.5815411990268562,Poor,Slow
class x tier,,240.0,0.6109997509296963,0.30454535182712944,0.8609106329152632,0.8552265146498466,0.6826207674703874,0.5935142491630484,Rich,Shigh
class x tier,,360.0,0.6719711008311526,0.37562409992331525,0.9005965680381397,0.8104377711677415,0.7081409221054663,0.6196698182377686,Rich,Slow
